大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,所属院系网址
Massachusetts Institute of Technology,Meng,Civil and Environmental Engineering：Data Science for Engineering Systems (DSES) track,土木与环境工程系,,https://oge.mit.edu/programs/civil-and-environmental-engineering/,https://cee.mit.edu/education/graduate/graduate-degrees/,,
Massachusetts Institute of Technology,PhD,Social and Engineering Systems," 
数据，系统和社会研究所",,https://oge.mit.edu/programs/institute-for-data-systems-and-society/,https://idss.mit.edu/academics/ses_doc/,,
Massachusetts Institute of Technology,MAS,"Data, Economics, and Development Policy",经济学系,,https://oge.mit.edu/programs/data-economics-and-development-policy/,https://economics.mit.edu/academic-programs/masters-programs/masters-data-economics-and-design-policy-dedp,,
Harvard University,MPP,Master in Public Policy,哈佛大学肯尼迪学院,,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,,
Harvard University,MPP / ID,Master in Public Administration in International Development,哈佛大学肯尼迪学院,,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,,
Harvard University,MPP,Master in Public Administration,哈佛大学肯尼迪学院,,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,,
Harvard University,MC/MPA,Mid-Career Master in Public Administration,哈佛大学肯尼迪学院,,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,,
Stanford University,PhD,‌Education Data Science,教育学院,,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/doctoral,,
Stanford University,MS,Education Data Science (MS),教育学院,,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/masters,,
Stanford University,PhD,Biomedical Data Science,生物科学学院,,https://biosciences.stanford.edu/how-to-apply/,https://biosciences.stanford.edu/program-overview/,,
Stanford University,MS,Biomedical Data Science,生物科学学院,,https://dbds.stanford.edu/for-prospective-students/,https://dbds.stanford.edu/biomedical-data-science-graduate-program-overview/,,
University of Pennsylvania,MUSA,Master of Urban Spatial Analytics,设计学院,,https://www.design.upenn.edu/graduate-admissions/how-apply,https://www.design.upenn.edu/musa/about,,
University of Pennsylvania,MSSP + DA,Social Policy+Data Analytics for Social Policy Certificate,社会政策与实践学院,,https://sp3.upenn.edu/how-to-apply-mssp/,https://sp2.upenn.edu/program/master-of-science-in-social-policy-data-analytics-for-social-policy-certificate/,,
" 
Brown University",MS,Social Data Analytics,研究生院,,https://graduateprograms.brown.edu/graduate-program/social-data-analytics-scm,https://www.brown.edu/academics/sociology/programs/masters-scm-program-social-data-analytics,,
Columbia University,M.A.,"Master of Science (M.S.) in Data, Learning, and Society",师范学院,,https://www.tc.columbia.edu/human-development/data-learning-and-society/degrees--requirements/data-learning-and-society/,https://www.tc.columbia.edu/human-development/data-learning-and-society/degrees--requirements/data-learning-and-society/,,
Columbia University,MA,Quantitative Methods in the Social Sciences,艺术与科学研究生院,,https://www.gsas.columbia.edu/content/quantitative-methods-social-sciences,https://qmss.columbia.edu/,,
Cornell University,M.S.,Biostatistics and Data Science,威尔康奈尔医学科学研究生院,,https://gradschool.weill.cornell.edu/programs/population-health-sciences,https://gradschool.weill.cornell.edu/programs/population-health-sciences,,
University of Chicago,MSCAPP,MS in Computational Analysis and Public Policy,物理科学部,,https://harris.uchicago.edu/admissions/requirements-and-deadlines,https://capp.uchicago.edu/,,
University of Chicago,M.S. ,MS in Environmental Science,物理科学部,,https://geosci.uchicago.edu/academics/ms-in-environmental-sciences/admissions/,https://geosci.uchicago.edu/academics/ms-in-environmental-sciences//,,
University of Chicago,MAPSS,Quantitative Methods & Social Analysis,社会科学部,,https://socialsciences.uchicago.edu/admissions/how-to-apply,https://mapss.uchicago.edu/programs-of-study,,
University of Chicago,MACSS,Computational Social Science,社会科学部,,https://macss.uchicago.edu/apply/application-requirements,https://mapss.uchicago.edu/programs-of-study,,
University of Chicago,MACSS,Computational Social Science ：economics,社会科学部,,https://macss.uchicago.edu/apply/application-requirements,https://mapss.uchicago.edu/programs-of-study,,
"University of California, Berkeley",M.A.,Master of Computational Social Science (MaCSS),计算社会科学学院,,https://grad.berkeley.edu/program/master-of-computational-social-science-mcss/,https://macss.berkeley.edu/,,
Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,,https://profms.rice.edu/application-deadlines,https://profms.rice.edu/programs/applied-chemical-sciences,,
Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,,https://profms.rice.edu/application-deadlines,https://profms.rice.edu/programs/applied-chemical-sciences,,
"University of Michigan, Ann Arbor",Ph.D,Survey and Data Science,文化、科学与艺术学院,,https://psm.isr.umich.edu/graduate-admissions,https://psm.isr.umich.edu/programs-study,,
"University of Michigan, Ann Arbor",MS,Survey and Data Science,文化、科学与艺术学院,,https://psm.isr.umich.edu/graduate-admissions,https://psm.isr.umich.edu/programs-study,,
Georgetown University,M.S.,Data Science for Public Policy,公共政策学院,,https://grad.georgetown.edu/public-policy/,https://mccourt.georgetown.edu/master-of-science-in-data-science-for-public-policy/,,
University of Virginia,ME,Biomedical Engineering,工程学院,,https://engineering.virginia.edu/graduate-study/future-grad-students/graduate-admission,https://engineering.virginia.edu/department/biomedical-engineering/academics/graduate-programs/me-biomedical-engineering,,
Carnegie Mellon University,MSPPM,MACHINE LEARNING & PUBLIC POLICY,信息系统与公共政策学院 ,,https://www.heinz.cmu.edu/admissions/public-policy-management/,https://www.heinz.cmu.edu/programs/public-policy-management-master/,,
