大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,托福送分ETS code,判断状态,有效回答数,总回答数,Response 1 提取,Response 2 提取,Response 3 提取,Response 1 原文,Response 2 原文,Response 3 原文
Massachusetts Institute of Technology,Meng,Civil and Environmental Engineering：Data Science for Engineering Systems (DSES) track,土木与环境工程系,https://oge.mit.edu/programs/civil-and-environmental-engineering/,https://cee.mit.edu/education/graduate/graduate-degrees/,3514,两个有效回答一致,2,3,3514,3514,invalid,3514,3514,Based on the search results and browsed content fr...
Massachusetts Institute of Technology,PhD,Social and Engineering Systems," 
数据，系统和社会研究所",https://oge.mit.edu/programs/institute-for-data-systems-and-society/,https://idss.mit.edu/academics/ses_doc/,3514,两个有效回答一致,2,3,invalid,3514,3514,Based on the search results and the browsed conten...,3514,3514
Massachusetts Institute of Technology,MAS,"Data, Economics, and Development Policy",经济学系,https://oge.mit.edu/programs/data-economics-and-development-policy/,https://economics.mit.edu/academic-programs/masters-programs/masters-data-economics-and-design-policy-dedp,3514,三个回答完全一致,3,3,3514,3514,3514,3514,3514,3514
Harvard University,MPP,Master in Public Policy,哈佛大学肯尼迪学院,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,需要额外确认,两个有效回答不一致: 3454 vs 3434,2,3,3454,invalid,3434,3454,The TOEFL code for Harvard Kennedy School is 3454.,3434
Harvard University,MPP / ID,Master in Public Administration in International Development,哈佛大学肯尼迪学院,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,3454,三个回答完全一致,3,3,3454,3454,3454,3454,3454,3454
Harvard University,MPP,Master in Public Administration,哈佛大学肯尼迪学院,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,3454,三个回答完全一致,3,3,3454,3454,3454,3454,3454,3454
Harvard University,MC/MPA,Mid-Career Master in Public Administration,哈佛大学肯尼迪学院,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,需要额外确认,只有一个有效回答，不足以确认,1,3,invalid,3454,invalid,The search results and browsed pages mention that ...,3454,Based on the browse results from the Harvard Kenne...
Stanford University,PhD,‌Education Data Science,教育学院,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/doctoral,4704,两个有效回答一致,2,3,4704,invalid,4704,4704,The search results and the browsed content indicat...,4704
Stanford University,MS,Education Data Science (MS),教育学院,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/masters,需要额外确认,只有一个有效回答，不足以确认,1,3,invalid,invalid,4704,"Based on the search results, Stanford's ETS instit...",The search results indicate that Stanford's ETS in...,4704
Stanford University,PhD,Biomedical Data Science,生物科学学院,https://biosciences.stanford.edu/how-to-apply/,https://biosciences.stanford.edu/program-overview/,4704,三个回答完全一致,3,3,4704,4704,4704,4704,4704,4704
Stanford University,MS,Biomedical Data Science,生物科学学院,https://dbds.stanford.edu/for-prospective-students/,https://dbds.stanford.edu/biomedical-data-science-graduate-program-overview/,4704,三个回答完全一致,3,3,4704,4704,4704,4704,4704,4704
University of Pennsylvania,MUSA,Master of Urban Spatial Analytics,设计学院,https://www.design.upenn.edu/graduate-admissions/how-apply,https://www.design.upenn.edu/musa/about,2984,两个有效回答一致,2,3,invalid,2984,2984,"Based on the search results and browsed content, t...",2984,2984
University of Pennsylvania,MSSP + DA,Social Policy+Data Analytics for Social Policy Certificate,社会政策与实践学院,https://sp3.upenn.edu/how-to-apply-mssp/,https://sp2.upenn.edu/program/master-of-science-in-social-policy-data-analytics-for-social-policy-certificate/,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,Not found,Not found,Not found
