大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,申请费减免,判断状态,有效回答数,总回答数,Response 1 分类,Response 2 分类,Response 3 分类
Massachusetts Institute of Technology,Meng,Civil and Environmental Engineering：Data Science for Engineering Systems (DSES) track,土木与环境工程系,https://oge.mit.edu/programs/civil-and-environmental-engineering/,https://cee.mit.edu/education/graduate/graduate-degrees/,applicable,只有一个有效回答,1,3,applicable,invalid,invalid
Massachusetts Institute of Technology,PhD,Social and Engineering Systems," 
数据，系统和社会研究所",https://oge.mit.edu/programs/institute-for-data-systems-and-society/,https://idss.mit.edu/academics/ses_doc/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Massachusetts Institute of Technology,MAS,"Data, Economics, and Development Policy",经济学系,https://oge.mit.edu/programs/data-economics-and-development-policy/,https://economics.mit.edu/academic-programs/masters-programs/masters-data-economics-and-design-policy-dedp,applicable,所有2个有效回答一致,2,3,invalid,applicable,applicable
Harvard University,MPP,Master in Public Policy,哈佛大学肯尼迪学院,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Harvard University,MPP / ID,Master in Public Administration in International Development,哈佛大学肯尼迪学院,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,applicable,只有一个有效回答,1,3,invalid,invalid,applicable
Harvard University,MPP,Master in Public Administration,哈佛大学肯尼迪学院,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,applicable,所有2个有效回答一致,2,3,applicable,invalid,applicable
Harvard University,MC/MPA,Mid-Career Master in Public Administration,哈佛大学肯尼迪学院,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Stanford University,PhD,‌Education Data Science,教育学院,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/doctoral,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Stanford University,MS,Education Data Science (MS),教育学院,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/masters,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Stanford University,PhD,Biomedical Data Science,生物科学学院,https://biosciences.stanford.edu/how-to-apply/,https://biosciences.stanford.edu/program-overview/,applicable,所有2个有效回答一致,2,3,applicable,invalid,applicable
