大学英文名称,学位,专业英文名称,所属院系,职业项目,投票状态,response_1_text,response_1_status,response_1_valid,response_2_text,response_2_status,response_2_valid,response_3_text,response_3_status,response_3_valid
Massachusetts Institute of Technology,Meng,Civil and Environmental Engineering：Data Science for Engineering Systems (DSES) track,土木与环境工程系,professional,多数票(2票professional vs 1票non-professional),"professional
",有效回答,True,non-professional,有效回答,True,professional,有效回答,True
Massachusetts Institute of Technology,PhD,Social and Engineering Systems," 
数据，系统和社会研究所",non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Massachusetts Institute of Technology,MAS,"Data, Economics, and Development Policy",经济学系,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Harvard University,MPP,Master in Public Policy,哈佛大学肯尼迪学院,non-professional,多数票(2票non-professional vs 1票professional),non-professional,有效回答,True,non-professional,有效回答,True,professional,有效回答,True
Harvard University,MPP / ID,Master in Public Administration in International Development,哈佛大学肯尼迪学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Harvard University,MPP,Master in Public Administration,哈佛大学肯尼迪学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Harvard University,MC/MPA,Mid-Career Master in Public Administration,哈佛大学肯尼迪学院,non-professional,多数票(2票non-professional vs 1票professional),professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Stanford University,PhD,‌Education Data Science,教育学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Stanford University,MS,Education Data Science (MS),教育学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Stanford University,PhD,Biomedical Data Science,生物科学学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Stanford University,MS,Biomedical Data Science,生物科学学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Pennsylvania,MUSA,Master of Urban Spatial Analytics,设计学院,professional,多数票(2票professional vs 1票non-professional),"non-professional
",有效回答,True,professional,有效回答,True,professional,有效回答,True
University of Pennsylvania,MSSP + DA,Social Policy+Data Analytics for Social Policy Certificate,社会政策与实践学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
" 
Brown University",MS,Social Data Analytics,研究生院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,"professional
",有效回答,True
Columbia University,M.A.,"Master of Science (M.S.) in Data, Learning, and Society",师范学院,professional,多数票(2票professional vs 1票non-professional),"professional
",有效回答,True,non-professional,有效回答,True,professional,有效回答,True
Columbia University,MA,Quantitative Methods in the Social Sciences,艺术与科学研究生院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Cornell University,M.S.,Biostatistics and Data Science,威尔康奈尔医学科学研究生院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Chicago,MSCAPP,MS in Computational Analysis and Public Policy,物理科学部,non-professional,多数票(2票non-professional vs 1票professional),non-professional,有效回答,True,non-professional,有效回答,True,professional,有效回答,True
University of Chicago,M.S. ,MS in Environmental Science,物理科学部,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
University of Chicago,MAPSS,Quantitative Methods & Social Analysis,社会科学部,non-professional,一致投票(3/3有效),non-professional,有效回答,True,"non-professional
",有效回答,True,non-professional,有效回答,True
University of Chicago,MACSS,Computational Social Science,社会科学部,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Chicago,MACSS,Computational Social Science ：economics,社会科学部,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"University of California, Berkeley",M.A.,Master of Computational Social Science (MaCSS),计算社会科学学院,professional,一致投票(3/3有效),"professional
",有效回答,True,professional,有效回答,True,"professional
",有效回答,True
Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
"University of Michigan, Ann Arbor",Ph.D,Survey and Data Science,文化、科学与艺术学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"University of Michigan, Ann Arbor",MS,Survey and Data Science,文化、科学与艺术学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,"non-professional
",有效回答,True
Georgetown University,M.S.,Data Science for Public Policy,公共政策学院,non-professional,多数票(2票non-professional vs 1票professional),non-professional,有效回答,True,non-professional,有效回答,True,professional,有效回答,True
University of Virginia,ME,Biomedical Engineering,工程学院,professional,一致投票(3/3有效),professional,有效回答,True,"professional
",有效回答,True,"professional
",有效回答,True
Carnegie Mellon University,MSPPM,MACHINE LEARNING & PUBLIC POLICY,信息系统与公共政策学院 ,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
Carnegie Mellon University,Ph.D.,Societal Computing,计算机科学学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Washington University in St. Louis,MSBDS,Master of Science in Biostatistics and Data Science (MSBDS),医学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Washington University in St. Louis,PHD,Biomedical Informatics and Data Science,医学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"University of California, San Diego",MS,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,non-professional,多数票(2票non-professional vs 1票professional),non-professional,有效回答,True,non-professional,有效回答,True,professional,有效回答,True
"University of California, San Diego",PhD,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"University of California, San Diego",PHD,Computational Biology and Data Science,医学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,"non-professional
",有效回答,True
University of Southern California,M.S.,Communication Data Science,传播与新闻学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
