大学英文名称,学位,专业英文名称,所属院系,项目标签（英文）,项目标签（中文）,response_used
Massachusetts Institute of Technology,Meng,Civil and Environmental Engineering：Data Science for Engineering Systems (DSES) track,土木与环境工程系,"Civil Engineering, Environmental Engineering, Interdisciplinary, Data Science, Computational Science","土木工程, 环境工程, 跨学科, 数据科学, 计算科学",response_1
Massachusetts Institute of Technology,PhD,Social and Engineering Systems," 
数据，系统和社会研究所","Interdisciplinary, Data Science, Statistics, Engineering, Social Sciences","跨学科, 数据科学, 统计学, 工程学, 社会科学",response_1
Massachusetts Institute of Technology,MAS,"Data, Economics, and Development Policy",经济学系,"Data Science, Economics, Policy, Development Studies, Interdisciplinary","数据科学, 经济学, 政策, 发展研究, 跨学科",response_1
Harvard University,MPP,Master in Public Policy,哈佛大学肯尼迪学院,"Data Science, Quantitative Analysis, Research Methods, Public Policy, Interdisciplinary","数据科学, 定量分析, 研究方法, 公共政策, 跨学科",response_1
Harvard University,MPP / ID,Master in Public Administration in International Development,哈佛大学肯尼迪学院,"Quantitative Analysis, Data Science, Research Methods, Public Policy, Interdisciplinary","定量分析, 数据科学, 研究方法, 公共政策, 跨学科",response_1
Harvard University,MPP,Master in Public Administration,哈佛大学肯尼迪学院,"Quantitative Analysis, Statistics, Economics, Data Science, Interdisciplinary","定量分析, 统计学, 经济学, 数据科学, 跨学科",response_1
Harvard University,MC/MPA,Mid-Career Master in Public Administration,哈佛大学肯尼迪学院,"Data Science, Research Methods, Quantitative Analysis, Stem-Designated, Interdisciplinary","数据科学, 研究方法, 定量分析, STEM认证, 跨学科",response_1
Stanford University,PhD,‌Education Data Science,教育学院,需要额外确认,需要额外确认,none
Stanford University,MS,Education Data Science (MS),教育学院,需要额外确认,需要额外确认,none
Stanford University,PhD,Biomedical Data Science,生物科学学院,需要额外确认,需要额外确认,none
Stanford University,MS,Biomedical Data Science,生物科学学院,"Biomedical Data Science, Interdisciplinary, Computer Science, Statistics, Biology And Medicine","生物医学数据科学, 跨学科, 计算机科学, 统计学, 生物学与医学",response_1
University of Pennsylvania,MUSA,Master of Urban Spatial Analytics,设计学院,"Urban Spatial Analytics, Data Science, Gis, Statistics, Interdisciplinary","城市空间分析, 数据科学, 地理信息系统, 统计学, 跨学科",response_1
University of Pennsylvania,MSSP + DA,Social Policy+Data Analytics for Social Policy Certificate,社会政策与实践学院,"Social Policy, Data Analytics, Interdisciplinary, Programming, Machine Learning","社会政策, 数据分析, 跨学科, 编程, 机器学习",response_1
" 
Brown University",MS,Social Data Analytics,研究生院,"Social Science, Data Analytics, Statistics, Quantitative Methods, Interdisciplinary","社会科学, 数据分析, 统计学, 定量方法, 跨学科",response_1
Columbia University,M.A.,"Master of Science (M.S.) in Data, Learning, and Society",师范学院,"Data Analytics, Education, Learning Analytics, Statistics, Interdisciplinary","数据分析, 教育学, 学习分析, 统计学, 跨学科",response_1
Columbia University,MA,Quantitative Methods in the Social Sciences,艺术与科学研究生院,"Interdisciplinary, Quantitative Research, Social Sciences, Statistics, Data Science","跨学科, 定量研究, 社会科学, 统计学, 数据科学",response_1
Cornell University,M.S.,Biostatistics and Data Science,威尔康奈尔医学科学研究生院,"Biostatistics, Data Science, Health Informatics, Health Policy, Economics, Interdisciplinary","生物统计学, 数据科学, 健康信息学, 健康政策, 经济学, 跨学科",response_1
University of Chicago,MSCAPP,MS in Computational Analysis and Public Policy,物理科学部,"Computational Analysis, Public Policy, Computer Science, Statistics, Interdisciplinary","计算分析, 公共政策, 计算机科学, 统计学, 跨学科",response_1
University of Chicago,M.S. ,MS in Environmental Science,物理科学部,"Environmental Science, Data Science, Interdisciplinary, Climate Science, Environmental Policy","环境科学, 数据科学, 跨学科, 气候科学, 环境政策",response_1
University of Chicago,MAPSS,Quantitative Methods & Social Analysis,社会科学部,"Social Sciences, Interdisciplinary, Quantitative Methods, Psychology, Stem-Eligible","社会科学, 跨学科, 定量方法, 心理学, STEM合格",response_2
University of Chicago,MACSS,Computational Social Science,社会科学部,"Computational, Social Science, Economics, Interdisciplinary, Quantitative Methods, Social Science, Interdisciplinary, Quantitative Methods, Anthropology, Psychology","计算的, 社会科学, 经济学, 跨学科, 定量方法, 社会科学, 跨学科, 定量方法, 人类学, 心理学",response_1
University of Chicago,MACSS,Computational Social Science ：economics,社会科学部,"Computational Social Science, Economics, Quantitative, Computational Methods, Interdisciplinary, Social Sciences, Interdisciplinary, Quantitative Methods, Psychology, Political Science","计算社会科学, 经济学, 定量, 计算方法, 跨学科, 社会科学, 跨学科, 定量方法, 心理学, 政治学",response_1
"University of California, Berkeley",M.A.,Master of Computational Social Science (MaCSS),计算社会科学学院,"Social Science, Data Science, Computational Methods, Interdisciplinary, Data Analysis","社会科学, 数据科学, 计算方法, 跨学科, 数据分析",response_3
Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,"Chemistry, Bioorganic Chemistry, Computational Chemistry, Data Science, Interdisciplinary","化学, 生物有机化学, 计算化学, 数据科学, 跨学科",response_1
Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,"Chemistry, Interdisciplinary, Computational Chemistry, Data Science, Bioorganic Chemistry","化学, 跨学科, 计算化学, 数据科学, 生物有机化学",response_1
"University of Michigan, Ann Arbor",Ph.D,Survey and Data Science,文化、科学与艺术学院,需要额外确认,需要额外确认,none
"University of Michigan, Ann Arbor",MS,Survey and Data Science,文化、科学与艺术学院,"Survey Methodology, Data Science, Statistics, Computer Science, Interdisciplinary","调查方法学, 数据科学, 统计学, 计算机科学, 跨学科",response_1
