排名,大学名称,大学英文名称,所在城市,专业中文名称,专业英文名称,所属院系,所属院系（英文）,所属院系网址,学位,专业领域,课程长度,申请费（美元),开学期,截止日期,GPA,托福,雅思,GRE,GMAT,学术背景,材料要求,招生网址,专业网址,更多项目信息,课程网址,面试,申请费减免,所属院系网址_1,推荐信,托福送分ETS code,项目标签（英文）,项目标签（中文）,职业项目,Gemini最终毕业要求
2,麻省理工学院,Massachusetts Institute of Technology,"Cambridge, MA",土木与环境工程：工程系统数据科学 （DSES） ,Civil and Environmental Engineering：Data Science for Engineering Systems (DSES) track,土木与环境工程系,Department of Civil and Environmental Engineering,https://cee.mit.edu,Meng,选择两个重点领域：可持续性的计算建模和设计或弹性基础设施系统和服务。,,$90 ,秋季,12月1日,要求,100,首选，7.5,不要求,不接受,,Statement of objectives；Three letters of recommendation；Transcripts；CV or Resume；Abstracts of published articles or conference presentations (optional),https://oge.mit.edu/programs/civil-and-environmental-engineering/,https://cee.mit.edu/education/graduate/graduate-degrees/,"• Specialized Master of Engineering (MEng) track in Data Science for Engineering Systems.
• Expertise in data science and computational modeling for sustainable, resilient infrastructure systems.
• Career preparation for sustainable/resilient design of energy, materials, structures, supply chains, and urban systems.
• Project studio with MIT faculty and industry partners for practical data acquisition, analysis, and computational modeling.",https://cee.mit.edu/education/graduate/graduate-degrees/,不需要,applicable,https://cee.mit.edu,3 letters of recommendation,3514,"Civil Engineering, Environmental Engineering, Interdisciplinary, Data Science, Computational Science","土木工程, 环境工程, 跨学科, 数据科学, 计算科学",professional,Research thesis required.
2,麻省理工学院,Massachusetts Institute of Technology,"Cambridge, MA",社会和工程系统,Social and Engineering Systems," 
数据，系统和社会研究所",MIT Schwarzman College of Computing,https://computing.mit.edu,PhD,通过结合分析工具和统计数据和信息科学与工程和社会科学的工具和方法的方法解决具体和societally显著的问题。重点是社会技术系统、自治系统、能源系统、金融、社会网络和城市系统等领域,,$90 ,秋季," 
12月15日",要求,不接受,7.5,不要求,不接受,具有工程或应用数学背景；具有社会科学背景的学生 - 特别是具有定量分析背景的学生,Statement of objectives；Three letters of recommendation；Transcripts；CV,https://oge.mit.edu/programs/institute-for-data-systems-and-society/,https://idss.mit.edu/academics/ses_doc/,"• Interdisciplinary research: Combines statistics, information sciences, engineering, and social sciences for societal impact.
• Full financial support: Comprehensive funding covers tuition, stipend, and health insurance for the program duration.
• Problem-driven research: Addresses societal challenges in autonomous, energy, finance, social, and urban systems.
• Quantitative & data-intensive: Emphasizes mathematical modeling, data science, statistics, and analysis of real-world data.
• No GRE required: Simplified admissions process, only IELTS or Cambridge English for non-native speakers.",https://catalog.mit.edu/schools/mit-schwarzman-college-computing/data-systems-society/#graduatetext,,applicable,https://idss.mit.edu,3 letters of recommendation,3514,"Interdisciplinary, Data Science, Statistics, Engineering, Social Sciences","跨学科, 数据科学, 统计学, 工程学, 社会科学",non-professional,"Written and oral qualifying exams, teaching trainee service, and research thesis are required."
2,麻省理工学院,Massachusetts Institute of Technology,"Cambridge, MA",数据，经济学与发展政策,"Data, Economics, and Development Policy",经济学系,Department of Economics,https://economics.mit.edu,MAS,,8个月,$90 ,春季,1月13日,要求,100,首选，7.0,不要求,不接受,在线和校园混合课程，首先按照自己的进度成功完成在线MITx MicroMasters证书，然后才能向麻省理工学院申请DEDP硕士课程。国际申请人需要跟学校确认是否可以获取F1签证,Statement of objectives；Three letters of recommendation；Transcripts,https://oge.mit.edu/programs/data-economics-and-development-policy/,https://economics.mit.edu/academic-programs/masters-programs/masters-data-economics-and-design-policy-dedp,"• Unique admissions: requires MITx DEDP MicroMasters credential, waiving traditional standardized tests like GRE/GMAT.
• Specialized curriculum: focuses on data, economics, and policy design for global development challenges, including a capstone project.
• Dual track options: offers International Development and Public Policy tracks for diverse career pathways.
• Interdisciplinary partnership: jointly administered by MIT Economics and J-PAL, focusing on evidence-based poverty alleviation.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHlFZL2_S-RiRioMV6snSWDfa0a2k1EJvNW0rkeE2TCdyWWYAXrL9O4vSbTC9QHuKDqmGeWEKNmyCQOggTtEcxVrR-I_aA9A9P11QDQkG44looqcW-_L1ORVwitNlYRp3MEEZL63QDYK4uL5_nsYIi9idn8h2JdBwNYKr-DxgmadQfzm_hWkmJz-VDI9_l5USTEaP26KIdMVh-mxgBsJm3709YuoecAScpYU8cTEIEMGw9rkVT5,不需要,applicable,https://economics.mit.edu,2 letters of recommendation,3514,"Data Science, Economics, Policy, Development Studies, Interdisciplinary","数据科学, 经济学, 政策, 发展研究, 跨学科",non-professional,Capstone project required.
3,哈佛大学,Harvard University,"Cambridge, MA",公共政策硕士: 数据和研究方法方向,Master in Public Policy,哈佛大学肯尼迪学院,Harvard Kennedy School,https://www.hks.harvard.edu,MPP,攻读数据和研究方法课程的学生将通过成功完成合格课程中的至少 16 个学分来培养定量分析和研究方法技能。,2年,$100 ,秋季,12月1日,要求,100，小分不低于25 ,7.0，小分不低于7.0 ,要求,要求,"Bachelor’s degree. Regardless of your undergraduate major, we would like to see evidence of quantitative proficiency such as success in undergraduate-level economics, statistics, or calculus courses.Work experience preferred, but not required. ",Essays;C.V. or Resume;Three letters of recommendation; transcripts,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,"• STEM-designated Data and Research Methods track for quantitative analysis.
• Curriculum sharpening public service skills through action-oriented social sciences.
• Admissions favoring leadership, quantitative proficiency, and public service commitment.
• Incoming students typically bring 2-3 years of professional work experience.",https://www.hks.harvard.edu/educational-programs/masters-programs/master-public-policy/curriculum,不需要,applicable,https://www.hks.harvard.edu,3 letters of recommendation,需要额外确认,"Data Science, Quantitative Analysis, Research Methods, Public Policy, Interdisciplinary","数据科学, 定量分析, 研究方法, 公共政策, 跨学科",non-professional,No additional graduation requirement.
3,哈佛大学,Harvard University,"Cambridge, MA",国际发展公共管理硕士: 数据和研究方法方向,Master in Public Administration in International Development,哈佛大学肯尼迪学院,Harvard Kennedy School,https://www.hks.harvard.edu,MPP / ID,攻读数据和研究方法课程的学生将通过成功完成合格课程中的至少 16 个学分来培养定量分析和研究方法技能。,2年,$100 ,秋季,12月1日,要求,100，小分不低于25 ,7.0，小分不低于7.0 ,要求，建议Q160+,要求,"Bachelor’s degree. We do not have a preferred undergraduate major, but we would like to see evidence of quantitative proficiency such as success in undergraduate-level economics, statistics, or calculus courses.Minimum of 2-3 years of professional work experience strongly preferred.",Essays;C.V. or Resume;Three letters of recommendation; transcripts,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,"• STEM-designated Master in Public Administration in International Development (MPA/ID) program.
• Rigorous quantitative foundation including economics, microeconomics, macroeconomics, and multivariable calculus.
• Advanced analytic and research methods training, with courses like Machine Learning and Big Data Analytics.
• Professional development focus, preferring two or more years of development-related work experience.",https://www.hks.harvard.edu/mpaid/degree-requirements,不需要,applicable,https://www.hks.harvard.edu,3 letters of recommendation,3454,"Quantitative Analysis, Data Science, Research Methods, Public Policy, Interdisciplinary","定量分析, 数据科学, 研究方法, 公共政策, 跨学科",non-professional,A development-related internship and a Second-Year Policy Analysis are required.
3,哈佛大学,Harvard University,"Cambridge, MA",公共管理硕士: 数据和研究方法方向,Master in Public Administration,哈佛大学肯尼迪学院,Harvard Kennedy School,https://www.hks.harvard.edu,MPP,攻读数据和研究方法课程的学生将通过成功完成合格课程中的至少 16 个学分来培养定量分析和研究方法技能。,2年,$100 ,秋季,12月1日,要求,100，小分不低于25 ,7.0，小分不低于7.0 ,要求,要求,Bachelor’s degree；Three years of professional work experience by the start of the academic year ,Essays;C.V. or Resume;Three letters of recommendation; transcripts,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,The,https://www.hks.harvard.edu/educational-programs/masters-programs/master-public-administration,不需要,applicable,https://www.hks.harvard.edu,3 letters of recommendation,3454,"Quantitative Analysis, Statistics, Economics, Data Science, Interdisciplinary","定量分析, 统计学, 经济学, 数据科学, 跨学科",non-professional,"Capstone experiences, including a Spring Exercise and a Policy Analysis Exercise (PAE), are required."
3,哈佛大学,Harvard University,"Cambridge, MA",职业中期公共管理硕士: 数据和研究方法方向,Mid-Career Master in Public Administration,哈佛大学肯尼迪学院,Harvard Kennedy School,https://www.hks.harvard.edu,MC/MPA,攻读数据和研究方法课程的学生将通过成功完成合格课程中的至少 16 个学分来培养定量分析和研究方法技能。,1年,$100 ,秋季,12月1日,要求,100，小分不低于25 ,7.0，小分不低于7.0 ,可选,可选,Bachelor’s degree；Three years of professional work experience by the start of the academic year ,Essays;C.V. or Resume;Three letters of recommendation; transcripts,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,,https://www.hks.harvard.edu/educational-programs/masters-programs/mid-career-master-public-administration,不需要,applicable,https://www.hks.harvard.edu,3 letters of recommendation,需要额外确认,"Data Science, Research Methods, Quantitative Analysis, Stem-Designated, Interdisciplinary","数据科学, 研究方法, 定量分析, STEM认证, 跨学科",non-professional,No additional graduation requirement.
3,斯坦福大学,Stanford University,"Stanford, CA",‌教育数据科学,‌Education Data Science,教育学院,Graduate School of Education,https://ed.stanford.edu,PhD,,5年,$125 ,秋季,12月2日,要求,100，低于109入学后需参加“English placement testing‘,不接受,25年不要求，但可提交来增强申请,不接受,,Statement of Purpose；letters of recommendation；Transcripts；Resume/CV,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/doctoral,"• Interdisciplinary research across various fields, supported by four faculty-led Research Centers.
• Cutting-edge GPU-centric computing instrument, Marlowe, for large-scale data-intensive research and machine learning.
• Dedicated scholar programs identifying and developing exceptional graduate and postdoc researchers in data-intensive methods.
• Research opportunities in computational data science, machine learning, and statistical analysis.
• Application of data science to educational challenges, including early childhood development and digital learning.",,,applicable,https://ed.stanford.edu,3 letters of recommendation,4704,需要额外确认,需要额外确认,non-professional,No additional graduation requirement
3,斯坦福大学,Stanford University,"Stanford, CA",教育数据科学（MS）,Education Data Science (MS),教育学院,Stanford Graduate School of Education,https://ed.stanford.edu/,MS,,2年,$125 ,秋季,1 月9 日,要求,100，低于109入学后需参加“English placement testing‘,不接受,25年不要求，但可提交来增强申请,不接受,,Statement of Purpose；letters of recommendation；Transcripts；Resume/CV,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/masters,Not found,,不需要,applicable,https://ed.stanford.edu/,3 letters of recommendation,需要额外确认,需要额外确认,需要额外确认,non-professional,Capstone project required.
3,斯坦福大学,Stanford University,"Stanford, CA",生物医学数据科学,Biomedical Data Science,生物科学学院,Department of Biomedical Data Science,https://dbds.stanford.edu/,PhD,本项目统一通过生物科学博士项目申请,,$125 ,秋季,12月1日；12月3日,要求,100，低于109入学后需参加“English placement testing‘,不接受,不要求,不接受,,Statement of purpose；Letters of recommendation；Transcripts ；CV,https://biosciences.stanford.edu/how-to-apply/,https://biosciences.stanford.edu/program-overview/,,https://explorecourses.stanford.edu/search?q=BIOMEDIN,,applicable,https://dbds.stanford.edu/,3 letters of recommendation,4704,需要额外确认,需要额外确认,non-professional,"A qualifying exam, a thesis pre-proposal seminar, and a dissertation are required."
