univ_rank,univ_name,city,degree_detail,program_name,program_detail,program_length,application_fee_usd,terms_start,deadline,gpa_req,toefl_req,ielts_req,gre_req,gmat_req,academic_background,material_requirements,admission_url,program_url,more_info,course_url,interview,application_fee_waiver,department,department_url,recommendation_letters,ets_code,tags,professional_program,grad_requirement
3,Harvard University,"Cambridge, MA",MS,Data Science SEAS,该计划侧重于诸如可重复数据分析，协作问题解决，可视化和通信以及数据科学中出现的安全和道德问题等主题,3学期,$105,秋季,12 月 1 日,要求,80,6.5,不要求,不接受,拥有自然科学，数学或工程学士学位的学生可以申请入学,The statement of purpose;C.V. or Resume;Three letters of recommendation; transcripts,https://seas.harvard.edu/masters-data-science/how-apply,https://seas.harvard.edu/masters-data-science,"• Interdisciplinary foundation: Jointly led by Computer Science and Statistics faculties.
• Core competencies: Strong preparation in statistical modeling, machine learning, and big data analysis.
• Practical skill development: Focus on reproducible analysis, visualization, and ethical data handling.
• Career versatility: Graduates can pursue data science professional or analytics-enabled roles.
• Research opportunity: Option to complete a master's thesis research project.",,不需要,applicable,Harvard John A. Paulson School of Engineering and Applied Sciences,https://seas.harvard.edu,3 letters of recommendation,3451,"Data Science, Computer Science, Statistics, Mathematics, Interdisciplinary",non-professional,"A capstone project or a master's thesis, and a project poster presentation are required."
3,Harvard University,"Cambridge, MA",MS,Data Science,,,$100,夏季,夏季（7 月 1 日 – 8 月 1 日）,3,100,7,无要求,无要求,兼职在线的硕士项目，但可以通过暑期学校项目获取F1签证https://summer.harvard.edu/adult-college-students/course-registration/international-student-registration/,,https://extension.harvard.edu/registration-admissions/degree-program-admissions/how-to-apply-to-a-graduate-degree-program/,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,"• Industry-partnered capstone with real-world data challenges, including collaborations with NASA.
• Robust career support via Harvard's Mignone Center and extensive alumni network.
• Flexible, professional curriculum emphasizing machine learning, AI, and ethical data science.
• Performance-based admission by completing initial degree-counting foundational coursework.
• Entrepreneurial opportunities through Harvard Innovation Labs for new venture development.",,不需要,applicable,Harvard Extension School,https://extension.harvard.edu,no explicit demand,,"Data Science, Machine Learning, Artificial Intelligence, Data Visualization, Interdisciplinary",professional,Capstone project required.
3,Harvard University,"Cambridge, MA",MS,Data Science,,,$100,秋季,秋季（11 月 1 日 – 12月 1 日）,3,100,7,无要求,无要求,兼职在线的硕士项目，但可以通过暑期学校项目获取F1签证https://summer.harvard.edu/adult-college-students/course-registration/international-student-registration/,,https://extension.harvard.edu/registration-admissions/degree-program-admissions/how-to-apply-to-a-graduate-degree-program/,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,"• Industry-partnered capstone with real-world data challenges, including collaborations with NASA.
• Robust career support via Harvard's Mignone Center and extensive alumni network.
• Flexible, professional curriculum emphasizing machine learning, AI, and ethical data science.
• Performance-based admission by completing initial degree-counting foundational coursework.
• Entrepreneurial opportunities through Harvard Innovation Labs for new venture development.",,不需要,applicable,Harvard Extension School,https://extension.harvard.edu,no explicit demand,,"Data Science, Machine Learning, Artificial Intelligence, Data Visualization, Interdisciplinary",professional,Capstone project required.
3,Harvard University,"Cambridge, MA",MS,Data Science,,,$100,春季,春季（3月 1 5日 – 4月 15 日）,3,100,7,无要求,无要求,兼职在线的硕士项目，但可以通过暑期学校项目获取F1签证https://summer.harvard.edu/adult-college-students/course-registration/international-student-registration/,,https://extension.harvard.edu/registration-admissions/degree-program-admissions/how-to-apply-to-a-graduate-degree-program/,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,"• Industry-partnered capstone with real-world data challenges, including collaborations with NASA.
• Robust career support via Harvard's Mignone Center and extensive alumni network.
• Flexible, professional curriculum emphasizing machine learning, AI, and ethical data science.
• Performance-based admission by completing initial degree-counting foundational coursework.
• Entrepreneurial opportunities through Harvard Innovation Labs for new venture development.",,不需要,applicable,Harvard Extension School,https://extension.harvard.edu,no explicit demand,,"Data Science, Machine Learning, Artificial Intelligence, Data Visualization, Interdisciplinary",professional,Capstone project required.
3,Stanford University,"Stanford, CA",MS,Data Science,,2年,$125,秋季,1月31日,要求,89，低于109入学后需参加“English placement testing‘，建议113,不接受,不要求,不接受,数学的坚实基础，包括线性代数，数值方法，概率，随机性，统计理论和C ++和r的编程熟练,Statement of Purpose；Letters of Recommendation；Transcripts；,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,"• Four distinct MS tracks: Data Science, Imaging Science, Mathematical & Computational Finance, and General CME.
• Robust curriculum in mathematical modeling, scientific computing, and advanced computational algorithms.
• Prepares students for professional careers or doctoral studies, with a dedicated finance track for industry roles.
• Affiliated faculty provide over 60 courses and conduct groundbreaking research in computational mathematics.
• Honors Cooperative Program offers a part-time study option for working professionals.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG3u7GsoQzYau3f9TqsI60q1kdl27ZIw_YBeft9GoEq-At69vJv7ZFpjpYonwSngS-HdAC6SjAV6dI98DeBvhzUVR7itTIfl-UlXKzriPGf7qfuokxgRRgL2IHSx92yrTqZHdVMkh6Y9CIXOAim8IYRLCxI7oUU5iCNe3OWRJUuPg7oW16RnZ3K9LhNFYBzIxT7l4JghgkHvd0EElr5ckKxGQ1sU37y-z4t,不需要,applicable,School of Engineering,https://engineering.stanford.edu,3 letters of recommendation,4704,"Computational Mathematics, Computational Engineering, Data Science, Statistics, Interdisciplinary",non-professional,A capstone project is required as a practical component.
3,Stanford University,"Stanford, CA",MS,Data Science,,,$125,秋季,1月15日,3.5,100，低于109入学后需参加“English placement testing‘,不接受,要求,不接受,,Statement of Purpose；letters of recommendation；Transcripts；Resume/CV,https://statistics.stanford.edu/msadmissionsms/how-apply,https://statistics.stanford.edu/graduate-programs/statistics-ms/statistics-data-science-curriculum,"• Focused 45-unit curriculum building strong mathematical, statistical, computational, and programming skills in data science.
• Required practical component includes capstone projects, master's research, and consulting workshops for industry experience.
• Opportunities for real-world projects with industry partners and engagement in AI bootcamps (Healthcare, Climate Change).",https://statistics.stanford.edu/graduate-programs/statistics-ms/statistics-data-science-curriculum,需要,applicable,School of Humanities and Sciences,https://humsci.stanford.edu/,3 letters of recommendation,4704,"Statistics, Data Science, Mathematics, Computer Science, Interdisciplinary",non-professional,PARSE_ERROR_RETRY_2: 'NoneType' object is not subscriptable
3,Yale University,"New Haven, CT",MS,Statistics and Data Science,,,$105,秋季,12月1日,要求,要求,要求,可选; 数学科目考试可选,不接受,,"letters of recommendation,  transcripts，A personal statement of purpose",https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/terminal-ma-program,"• Comprehensive Curriculum: Broad training in statistical theory, probability, machine learning, data analysis, and statistical computing.
• Flexible Program Choice: Options for an 8-course M.A. or a new 12-course M.S., with inter-program transferability.
• Strong Career Outcomes: Graduates secure excellent positions in industry and government, with placements at firms like McKinsey and Facebook.",,不需要,applicable,Graduate School of Arts and Sciences,https://gsas.yale.edu,no explicit demand,3987,"Statistics, Data Science, Machine Learning, Probability Theory, Interdisciplinary",non-professional,No additional graduation requirement
3,Yale University,"New Haven, CT",PH.D.,Statistics and Data Science,研究领域包括统计理论的主要领域（重点是基础、贝叶斯理论、决策理论、非参数统计）、概率论（随机过程、渐近、弱收敛）、信息论、生物信息学和遗传学、分类、数据挖掘和机器学习、神经网络、网络科学、优化、统计计算以及图形模型和方法。,,$105,秋季,12月15日,要求,要求，口语低于25分需要参加课前语言课程,要求，口语低于7.5需要参加课前语言培训,可选; 数学科目考试可选,不接受,"All applicants should have a strong mathematical background, including advanced calculus, linear algebra, elementary probability theory, and at least one course providing an introduction to mathematical statistics. An undergraduate major may be in statistics, mathematics, computer science, or in a subject in which significant statistical problems may arise.","letters of recommendation,  transcripts，A personal statement of purpose",https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/phd-program,"• Core research areas: statistical theory, probability, machine learning, bioinformatics, and network science.
• Interdisciplinary Ph.D. pathway available, including a combined program with Political Science.
• Full financial support: twelve-month stipend, complete tuition coverage, and student healthcare for Ph.D. students.
• Graduates secure strong positions across universities, industry, and government sectors.",,,,Graduate School of Arts and Sciences,https://gsas.yale.edu,3 letters of recommendation,3987,"Statistics, Data Science, Probability Theory, Machine Learning, Interdisciplinary",non-professional,"Qualifying exams, practical work resulting in a project/paper, and a dissertation are required."
6,University of Pennsylvania,"Philadelphia, PA",PHD,Statistics and Data Science,观察性研究分析; 贝叶斯推断，生物信息学; 计算生物学; 决策理论; 博弈论; 基因组学; 高维推理; 信息论; 机器学习; 模型选择; 非参数函数估计; 和时间序列分析。,,$80,秋季,12月15日,要求,要求，过往均分107，阅读：29、听力：28、口语：23、写作：26,不接受,要求，过往录取平均成绩V159+Q165+4.0,不接受,拥有强大的数学本科背景。需要了解线性代数和高级微积分，并且对实际分析的经验,Personal Statement；essay；recommendations；transcripts,https://doctoral.wharton.upenn.edu/application-requirements/,https://doctoral.wharton.upenn.edu/statistics/,"• Research spans observational studies, Bayesian inference, bioinformatics, machine learning, and time series analysis.
• Interdisciplinary engagement with finance, marketing, public policy, biostatistics, and computer science fields.
• Graduates secure positions in academia, government, financial services, and bio-pharmaceutical industries.",,,,The Wharton School,https://www.wharton.upenn.edu,3 letters of recommendation,,"Statistics, Data Science, Interdisciplinary, Mathematics, Computer Science",non-professional,"Qualifying evaluation, candidacy examination, and dissertation defense are required."
6,University of Pennsylvania,"Philadelphia, PA",MSE,Data Science,,1.5-2年,$90,秋季,11月1日,要求,推荐100,推荐7.5,可选，但鼓励提交,不接受,具有较强数学和统计熟练程度以及一些编程经验,Biographical information;Resume;Personal Statement;Letters of Recommendation;Transcript,https://gradadm.seas.upenn.edu/how-to-apply/,https://dats.seas.upenn.edu/,"• Comprehensive curriculum: blends machine learning, big data analytics, and statistics with domain specialization options.
• Interdisciplinary focus: strong cross-disciplinary traditions, supported by centers like Warren Center and Price Lab.
• Experiential learning: offers a practicum or thesis in a chosen data science application area for hands-on experience.
• Diverse career preparation: equips students for data-centric roles in technology, consulting, science, and policy-making.
• Robust community engagement: active student groups and involvement in events like the Women in Data Science conference.

- Additional deadlines: 2月3日",,不需要,applicable,School of Engineering and Applied Science,https://www.seas.upenn.edu/,2 letters of recommendation,,"Data Science, Machine Learning, Big Data Analytics, Statistics, Interdisciplinary",non-professional,Practicum or thesis with a report and presentation required.
