大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,专业类别
Harvard University,MS,Data Science SEAS,约翰·保尔森工程与应用科学学院,Harvard John A. Paulson School of Engineering and Applied Sciences,https://seas.harvard.edu/masters-data-science/how-apply,https://seas.harvard.edu/masters-data-science,https://seas.harvard.edu,
Harvard University,MS,Data Science,Harvard Extension School,Harvard Extension School,https://extension.harvard.edu/registration-admissions/degree-program-admissions/how-to-apply-to-a-graduate-degree-program/,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,https://extension.harvard.edu,
Stanford University,MS,Data Science,工程学院,School of Engineering,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,https://engineering.stanford.edu,
Stanford University,MS,Data Science,人文科学学院,School of Humanities and Sciences,https://statistics.stanford.edu/msadmissionsms/how-apply,https://statistics.stanford.edu/graduate-programs/statistics-ms/statistics-data-science-curriculum,https://humsci.stanford.edu/,
Yale University,MS,Statistics and Data Science,艺术与科学研究生院,Graduate School of Arts and Sciences,https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/terminal-ma-program,https://gsas.yale.edu,
Yale University,PH.D.,Statistics and Data Science,艺术与科学研究生院,Graduate School of Arts and Sciences,https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/phd-program,https://gsas.yale.edu,
University of Pennsylvania,PHD,Statistics and Data Science ,商学院,The Wharton School,https://doctoral.wharton.upenn.edu/application-requirements/,https://doctoral.wharton.upenn.edu/statistics/,https://www.wharton.upenn.edu/,
University of Pennsylvania,MSE,Data Science,工程学院,School of Engineering and Applied Science,https://gradadm.seas.upenn.edu/how-to-apply/,https://dats.seas.upenn.edu/,https://www.seas.upenn.edu/,
Duke University,MS,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,Pratt School of Engineering,https://gradschool.duke.edu/academics/programs-degrees/electrical-and-computer-engineering-ms/,https://ece.duke.edu/academics/masters/ms/,https://pratt.duke.edu,
Duke University,Meng,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,Pratt School of Engineering,https://masters.pratt.duke.edu/apply/requirements/,https://ece.duke.edu/academics/masters/meng/,https://pratt.duke.edu,
Duke University,MS,Statistical Science（Data Science & Analytics ）,文理学院,The Graduate School,https://gradschool.duke.edu/academics/programs-degrees/statistical-science-ms/,https://stat.duke.edu/ms/ms-focus-areas-tracks,https://gradschool.duke.edu,
Duke University,MS,Interdisciplinary Data Science,文理学院,The Graduate School,https://gradschool.duke.edu/academics/programs-degrees/master-interdisciplinary-data-science/,https://datascience.duke.edu/,https://gradschool.duke.edu,
Duke University,MENG,Electrical and Computer Engineering,杜克昆山分校,Pratt School of Engineering,https://iapse.dukekunshan.edu.cn/ece/admissions/how-to-apply/,https://iapse.dukekunshan.edu.cn/ece/,https://pratt.duke.edu,
" 
Brown University",MS,Data Science,研究生院,Data Science Institute,https://graduateprograms.brown.edu/graduate-program/data-science-scm,https://dsi.brown.edu/academics/masters-degree,https://dsi.brown.edu,
Northwestern University,MS,Master of Science in Machine Learning and Data Science,工程与应用科学学院,Robert R. McCormick School of Engineering and Applied Science,https://www.mccormick.northwestern.edu/machine-learning-data-science/admissions/,https://www.mccormick.northwestern.edu/machine-learning-data-science/overview/,https://www.mccormick.northwestern.edu/,
Northwestern University,MS,Statistics and Data Science,文理学院,Weinberg College of Arts & Sciences,https://statistics.northwestern.edu/graduate/ms-stat-program/how_to_apply.html,https://statistics.northwestern.edu/graduate/ms-stat-program/,https://www.weinberg.northwestern.edu/,
Johns Hopkins University,MSE,Data Science,工程学院,Whiting School of Engineering,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,https://engineering.jhu.edu,
