大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,所属院系（英文）
Harvard University,MS,Data Science SEAS,约翰·保尔森工程与应用科学学院,https://seas.harvard.edu/masters-data-science/how-apply,https://seas.harvard.edu/masters-data-science,
Harvard University,MS,Data Science,Harvard Extension School,https://extension.harvard.edu/registration-admissions/degree-program-admissions/how-to-apply-to-a-graduate-degree-program/,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,
Stanford University,MS,Data Science,工程学院,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,
Stanford University,MS,Data Science,人文科学学院,https://statistics.stanford.edu/msadmissionsms/how-apply,https://statistics.stanford.edu/graduate-programs/statistics-ms/statistics-data-science-curriculum,
Yale University,MS,Statistics and Data Science,艺术与科学研究生院,https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/terminal-ma-program,
Yale University,PH.D.,Statistics and Data Science,艺术与科学研究生院,https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/phd-program,
University of Pennsylvania,PHD,Statistics and Data Science ,商学院,https://doctoral.wharton.upenn.edu/application-requirements/,https://doctoral.wharton.upenn.edu/statistics/,
University of Pennsylvania,MSE,Data Science,工程学院,https://gradadm.seas.upenn.edu/how-to-apply/,https://dats.seas.upenn.edu/,
Duke University,MS,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,https://gradschool.duke.edu/academics/programs-degrees/electrical-and-computer-engineering-ms/,https://ece.duke.edu/academics/masters/ms/,
Duke University,Meng,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,https://masters.pratt.duke.edu/apply/requirements/,https://ece.duke.edu/academics/masters/meng/,
Duke University,MS,Statistical Science（Data Science & Analytics ）,文理学院,https://gradschool.duke.edu/academics/programs-degrees/statistical-science-ms/,https://stat.duke.edu/ms/ms-focus-areas-tracks,
Duke University,MS,Interdisciplinary Data Science,文理学院,https://gradschool.duke.edu/academics/programs-degrees/master-interdisciplinary-data-science/,https://datascience.duke.edu/,
Duke University,MENG,Electrical and Computer Engineering,杜克昆山分校,https://iapse.dukekunshan.edu.cn/ece/admissions/how-to-apply/,https://iapse.dukekunshan.edu.cn/ece/,
" 
Brown University",MS,Data Science,研究生院,https://graduateprograms.brown.edu/graduate-program/data-science-scm,https://dsi.brown.edu/academics/masters-degree,
Northwestern University,MS,Master of Science in Machine Learning and Data Science,工程与应用科学学院,https://www.mccormick.northwestern.edu/machine-learning-data-science/admissions/,https://www.mccormick.northwestern.edu/machine-learning-data-science/overview/,
Northwestern University,MS,Statistics and Data Science,文理学院,https://statistics.northwestern.edu/graduate/ms-stat-program/how_to_apply.html,https://statistics.northwestern.edu/graduate/ms-stat-program/,
Johns Hopkins University,MSE,Data Science,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,
Johns Hopkins University,MSE,Data Science,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,
Johns Hopkins University,MSEM,Master of Science in Global Innovation and Leadership：Technical Concentrations,工程学院,https://msil.engineering.jhu.edu/admissions/,https://msil.engineering.jhu.edu/academics/technical-track/,
Columbia University,MS,Data Science,工程与应用科学研究生学院,https://datascience.columbia.edu/education/programs/m-s-in-data-science/admissions/,https://datascience.columbia.edu/education/programs/m-s-in-data-science/,
Columbia University,PhD,The PhD specialization in Data Science,工程与应用科学研究生学院,https://datascience.columbia.edu/education/programs/ph-d-with-a-specialization-in-data-science/,https://datascience.columbia.edu/education/programs/ph-d-with-a-specialization-in-data-science/,
Columbia University,MS,Applied Analytics,School of Professional Studies,https://sps.columbia.edu/admissions/masters-degree-applicants,https://sps.columbia.edu/academics/masters/applied-analytics,
Columbia University,MS,Applied Analytics,School of Professional Studies,https://sps.columbia.edu/admissions/masters-degree-applicants,https://sps.columbia.edu/academics/masters/applied-analytics,
