大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,托福送分ETS code,判断状态,有效回答数,总回答数,Response 1 提取,Response 2 提取,Response 3 提取,Response 1 原文,Response 2 原文,Response 3 原文
Harvard University,MS,Data Science SEAS,约翰·保尔森工程与应用科学学院,https://seas.harvard.edu/masters-data-science/how-apply,https://seas.harvard.edu/masters-data-science,3451,三个回答完全一致,3,3,3451,3451,3451,3451,3451,3451
Harvard University,MS,Data Science,Harvard Extension School,https://extension.harvard.edu/registration-admissions/degree-program-admissions/how-to-apply-to-a-graduate-degree-program/,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,需要额外确认,"回答不一致: {'3434': 1, '3451': 2}",3,3,3434,3451,3451,3434,3451,3451
Stanford University,MS,Data Science,工程学院,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,4704,三个回答完全一致,3,3,4704,4704,4704,4704,4704,4704
Stanford University,MS,Data Science,人文科学学院,https://statistics.stanford.edu/msadmissionsms/how-apply,https://statistics.stanford.edu/graduate-programs/statistics-ms/statistics-data-science-curriculum,4704,三个回答完全一致,3,3,4704,4704,4704,4704,4704,4704
Yale University,MS,Statistics and Data Science,艺术与科学研究生院,https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/terminal-ma-program,3987,三个回答完全一致,3,3,3987,3987,3987,3987,3987,3987
Yale University,PH.D.,Statistics and Data Science,艺术与科学研究生院,https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/phd-program,3987,三个回答完全一致,3,3,3987,3987,3987,3987,3987,3987
University of Pennsylvania,PHD,Statistics and Data Science ,商学院,https://doctoral.wharton.upenn.edu/application-requirements/,https://doctoral.wharton.upenn.edu/statistics/,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,2954-02,2954-02,2954-02
University of Pennsylvania,MSE,Data Science,工程学院,https://gradadm.seas.upenn.edu/how-to-apply/,https://dats.seas.upenn.edu/,需要额外确认,只有一个有效回答，不足以确认,1,3,invalid,2888,invalid,The first URL (Admissions URL: https://gradadm.sea...,2888,The first URL (Admissions URL) contains the inform...
Duke University,MS,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,https://gradschool.duke.edu/academics/programs-degrees/electrical-and-computer-engineering-ms/,https://ece.duke.edu/academics/masters/ms/,5156,三个回答完全一致,3,3,5156,5156,5156,5156,5156,5156
Duke University,Meng,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,https://masters.pratt.duke.edu/apply/requirements/,https://ece.duke.edu/academics/masters/meng/,5156,三个回答完全一致,3,3,5156,5156,5156,5156,5156,5156
