大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,课程网址,处理状态,有效URL数量,置信度分数,发现课程编号
Harvard University,MS,Data Science SEAS,约翰·保尔森工程与应用科学学院,https://seas.harvard.edu/masters-data-science/how-apply,https://seas.harvard.edu/masters-data-science,,所有URL内容获取失败,0,0,
Harvard University,MS,Data Science,Harvard Extension School,https://extension.harvard.edu/registration-admissions/degree-program-admissions/how-to-apply-to-a-graduate-degree-program/,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,,所有URL内容获取失败,0,0,
Stanford University,MS,Data Science,工程学院,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG3u7GsoQzYau3f9TqsI60q1kdl27ZIw_YBeft9GoEq-At69vJv7ZFpjpYonwSngS-HdAC6SjAV6dI98DeBvhzUVR7itTIfl-UlXKzriPGf7qfuokxgRRgL2IHSx92yrTqZHdVMkh6Y9CIXOAim8IYRLCxI7oUU5iCNe3OWRJUuPg7oW16RnZ3K9LhNFYBzIxT7l4JghgkHvd0EElr5ckKxGQ1sU37y-z4t,"规则选择完成 (置信度: 335; 发现15个课程编号; 学科: social_sci, cs_data, econ_business)",2,335,STATS 200; STATS 300A; STATS 203; STATS 305A; STATS 209
Stanford University,MS,Data Science,人文科学学院,https://statistics.stanford.edu/msadmissionsms/how-apply,https://statistics.stanford.edu/graduate-programs/statistics-ms/statistics-data-science-curriculum,https://statistics.stanford.edu/graduate-programs/statistics-ms/statistics-data-science-curriculum,单一URL验证通过 (置信度: 220),1,220,STATS 200; STATS 116; STATS 300A; STATS 203; STATS 203V
Yale University,MS,Statistics and Data Science,艺术与科学研究生院,https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/terminal-ma-program,,所有URL内容获取失败,0,0,
Yale University,PH.D.,Statistics and Data Science,艺术与科学研究生院,https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/phd-program,,单一URL验证失败 (置信度: 13),1,0,
University of Pennsylvania,PHD,Statistics and Data Science ,商学院,https://doctoral.wharton.upenn.edu/application-requirements/,https://doctoral.wharton.upenn.edu/statistics/,,所有URL内容获取失败,0,0,
University of Pennsylvania,MSE,Data Science,工程学院,https://gradadm.seas.upenn.edu/how-to-apply/,https://dats.seas.upenn.edu/,,单一URL验证失败 (置信度: 0),1,0,
Duke University,MS,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,https://gradschool.duke.edu/academics/programs-degrees/electrical-and-computer-engineering-ms/,https://ece.duke.edu/academics/masters/ms/,,所有URL内容获取失败,0,0,
Duke University,Meng,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,https://masters.pratt.duke.edu/apply/requirements/,https://ece.duke.edu/academics/masters/meng/,,所有URL内容获取失败,0,0,
Duke University,MS,Statistical Science（Data Science & Analytics ）,文理学院,https://gradschool.duke.edu/academics/programs-degrees/statistical-science-ms/,https://stat.duke.edu/ms/ms-focus-areas-tracks,https://stat.duke.edu/ms/mss/program-requirements,单一URL验证通过 (置信度: 165),1,165,STA 521L; STA 523L; STA 581; STA 532; STA 602L
Duke University,MS,Interdisciplinary Data Science,文理学院,https://gradschool.duke.edu/academics/programs-degrees/master-interdisciplinary-data-science/,https://datascience.duke.edu/,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFWIRaYDJ5oHTWIW7HtQqn6eB0t5GmMlD7p8CIAWuxwPIvESXC2qQjywlRMHG79qO9iXw8G8fanNT78XG3SPLP93PeQBOArcqWWjTrQuHMBjQ9XwIAkQqdMlFsJwID4yGJS2wMdtss1Sqq0KBbZWhETUyfr8mpptSOOaDG9R_DBAbQ=,单一URL验证通过 (置信度: 197),1,197,IDS 706; IDS 703; IDS 702; IDS 701; IDS 705
Duke University,MENG,Electrical and Computer Engineering,杜克昆山分校,https://iapse.dukekunshan.edu.cn/ece/admissions/how-to-apply/,https://iapse.dukekunshan.edu.cn/ece/,,所有URL内容获取失败,0,0,
" 
Brown University",MS,Data Science,研究生院,https://graduateprograms.brown.edu/graduate-program/data-science-scm,https://dsi.brown.edu/academics/masters-degree,,所有URL内容获取失败,0,0,
Northwestern University,MS,Master of Science in Machine Learning and Data Science,工程与应用科学学院,https://www.mccormick.northwestern.edu/machine-learning-data-science/admissions/,https://www.mccormick.northwestern.edu/machine-learning-data-science/overview/,,所有URL内容获取失败,0,0,
Northwestern University,MS,Statistics and Data Science,文理学院,https://statistics.northwestern.edu/graduate/ms-stat-program/how_to_apply.html,https://statistics.northwestern.edu/graduate/ms-stat-program/,,所有URL内容获取失败,0,0,
Johns Hopkins University,MSE,Data Science,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,单一URL验证通过 (置信度: 61),1,61,
Johns Hopkins University,MSE,Data Science,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,,所有URL内容获取失败,0,0,
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEOULXrmvYxs21YX7BnzBhnewTQOu5l2VI8wfijwBYgLc4d56fGXsy40E_UGbMH4LV6LP8T_EUeiKrrNSz0f9w0KI48PvxTxwqfJrw5uR0G581v5HNjCcaKHG7tYBFsQ378d8_D5JapvClS0F7s363oJfZ6-l9gCB1SwmG-9-YVJrtR2Lxv5BTh2MtXBj3ay_34zpZBi-s6bSUFY2tMN1nOMcf7fOyEuH1_DUkzTpl4dBpcxkPjiCyijDXijwSV0TEaTYbhqUMeadb-nd43Izni9fv7tQ==,单一URL验证通过 (置信度: 165),1,165,
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGIi30OGe8T8RDi5ftjB3uAQuxut3_kf8E8wN9MM6vwjca_62IThNLicSOsuPXlxo8q095dA0T44cOqRNE_JOb5ouz5dJPB6nxIl8wOZQuu2iV6yYYxpVNHUv2eYNgCruz40FMJJ5qbs4vXOxFRoWcIgKEIb4xeyy31Gq7YGFrf9khoLchGWe4-CzMwOnRAZX_z-pqYzRABBeCK8EB9ElfFhft3tUVflqGNTqotUPi8pe8VIIYEI4HeFhFTpyOf2cxsKi2x4PWHC4gZAnUmxepRI1fjoQ==,规则选择完成 (置信度: 165),2,165,
Johns Hopkins University,MSEM,Master of Science in Global Innovation and Leadership：Technical Concentrations,工程学院,https://msil.engineering.jhu.edu/admissions/,https://msil.engineering.jhu.edu/academics/technical-track/,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFchlni9HNzVG1IyBjYyqyA9F0hetTWRnPqAqjzRFqaFV9x7QNzpUW_PaGv5PFm07v2TmazFvvrsWl3_ZyhJyxR6jMaNiV5evbZDxrR4UwSxq-K-fyriTmk-73846hdOliFDO7rZgKzvWiDw-9eyK1LycpZk4a4LZjdFCTL_wh8l9XcvdqvZhRxR6x_F9otpGpn-4QmKeNxRg288vybe5uM8F3INxeo0jOYdupY2ojfiHh0WBbU0cCiJ5z0ZzfmdklqRDWRLOitEfNxRnYYlnFo1P9ZuP5Ch7u5-zowC5Bulw==,规则选择完成 (置信度: 290),3,290,
Columbia University,MS,Data Science,工程与应用科学研究生学院,https://datascience.columbia.edu/education/programs/m-s-in-data-science/admissions/,https://datascience.columbia.edu/education/programs/m-s-in-data-science/,https://datascience.columbia.edu/education/programs/m-s-in-data-science/,单一URL验证通过 (置信度: 154),1,154,COMS 4721
Columbia University,PhD,The PhD specialization in Data Science,工程与应用科学研究生学院,https://datascience.columbia.edu/education/programs/ph-d-with-a-specialization-in-data-science/,https://datascience.columbia.edu/education/programs/ph-d-with-a-specialization-in-data-science/,,所有URL内容获取失败,0,0,
Columbia University,MS,Applied Analytics,School of Professional Studies,https://sps.columbia.edu/admissions/masters-degree-applicants,https://sps.columbia.edu/academics/masters/applied-analytics,https://sps.columbia.edu/academics/masters/applied-analytics/full-time-master-science/curriculum-courses,规则选择完成 (置信度: 305; 发现10个课程编号),2,305,APAN 5560; APANK 5430; IAPAN 5100; APAN 5450; APAN 5200
Columbia University,MS,Applied Analytics,School of Professional Studies,https://sps.columbia.edu/admissions/masters-degree-applicants,https://sps.columbia.edu/academics/masters/applied-analytics,,单一URL验证失败 (置信度: 0),1,0,
Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/operations-research-and-information-engineering/operations-research-and-information-engineering-meng-ithaca/,https://www.orie.cornell.edu/orie/programs/meng-degree-ithaca,,所有URL内容获取失败,0,0,
Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/operations-research-and-information-engineering/operations-research-and-information-engineering-meng-ithaca/,https://www.orie.cornell.edu/orie/programs/meng-degree-ithaca,,所有URL内容获取失败,0,0,
Cornell University,M.Eng.,Operations Research and Information Engineering (M.Eng.) (Cornell NYC Tech),康奈尔科技学院,https://tech.cornell.edu/admissions/meng-application/,https://tech.cornell.edu/programs/masters-programs/master-in-operations-research-and-information-engineering/,,所有URL内容获取失败,0,0,
Cornell University,M.P.S.,Information Science (M.P.S.) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/information-science/information-science-mps-ithaca/,https://infosci.cornell.edu/masters/mps,,所有URL内容获取失败,0,0,
Cornell University,Ph.D.,Information Science (Ph.D.) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/information-science/information-science-phd-ithaca/,https://infosci.cornell.edu/phd,,所有URL内容获取失败,0,0,
Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,,无有效URL,0,0,
Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,单一URL验证通过 (置信度: 154),1,154,
University of Chicago,MScA,Applied Data Science,物理科学部,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/course-progressions/,规则选择完成 (置信度: 65),2,65,
University of Chicago,MS,Data Science ,物理科学部,https://codas.uchicago.edu/how-to-apply/,https://codas.uchicago.edu/academics/ms-data-science/,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHTMIKejiMWFvZyUj68Ml7qS4OTyIr8mi3Qk_V4Vd1MJfKMcufTSwD2tn3A5fgA0Y6Lh4tYyCxWpQ34vutvuFIK8Ke28SqQG4WpXDxrLAe6cDLTc4nb5fBZjRQhqMjxZ5RBEmCZp4yLRPim82hS-1xEwY0=,规则选择完成 (置信度: 133),2,133,
University of Chicago,Ph.D,Data Science ,物理科学部,https://codas.uchicago.edu/how-to-apply/,https://codas.uchicago.edu/academics/phd-in-data-science/,,单一URL验证失败 (置信度: 48),1,0,
"University of California, Berkeley",M.Eng,Data Science  ,电子工程和计算机科学系,https://grad.berkeley.edu/program/electrical-engineering-computer-sciences-meng/,https://eecs.berkeley.edu/academics/graduate/industry-programs/meng/,,单一URL验证失败 (置信度: 44),1,0,
"University of California, Berkeley",MAna,Master of Analytics,工业工程与运筹学系,https://grad.berkeley.edu/program/master-of-analytics-manlytx/,https://analytics.berkeley.edu/,,所有URL内容获取失败,0,0,
"University of California, Los Angeles",MENG,Data Science ,工程与应用科学学院,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/engineering-master-of-engineering/,https://www.meng.ucla.edu/,,无URL达到课程页面标准，最高置信度: 38,2,0,
"University of California, Los Angeles",M.A.S.D.S,Master of Applied Statistics and Data Science,物理科学学院,https://grad.ucla.edu/programs/physical-sciences/statistics-and-data-science-department/statistics-master-of-applied-statistics-and-data-science/,https://master.stat.ucla.edu/,,所有URL内容获取失败,0,0,
