大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,更多项目信息
Massachusetts Institute of Technology,Meng,Civil and Environmental Engineering：Data Science for Engineering Systems (DSES) track,土木与环境工程系,,https://oge.mit.edu/programs/civil-and-environmental-engineering/,https://cee.mit.edu/education/graduate/graduate-degrees/,,"• Specialized Master of Engineering (MEng) track in Data Science for Engineering Systems.
• Expertise in data science and computational modeling for sustainable, resilient infrastructure systems.
• Career preparation for sustainable/resilient design of energy, materials, structures, supply chains, and urban systems.
• Project studio with MIT faculty and industry partners for practical data acquisition, analysis, and computational modeling."
Massachusetts Institute of Technology,PhD,Social and Engineering Systems," 
数据，系统和社会研究所",,https://oge.mit.edu/programs/institute-for-data-systems-and-society/,https://idss.mit.edu/academics/ses_doc/,,"• Interdisciplinary research: Combines statistics, information sciences, engineering, and social sciences for societal impact.
• Full financial support: Comprehensive funding covers tuition, stipend, and health insurance for the program duration.
• Problem-driven research: Addresses societal challenges in autonomous, energy, finance, social, and urban systems.
• Quantitative & data-intensive: Emphasizes mathematical modeling, data science, statistics, and analysis of real-world data.
• No GRE required: Simplified admissions process, only IELTS or Cambridge English for non-native speakers."
Massachusetts Institute of Technology,MAS,"Data, Economics, and Development Policy",经济学系,,https://oge.mit.edu/programs/data-economics-and-development-policy/,https://economics.mit.edu/academic-programs/masters-programs/masters-data-economics-and-design-policy-dedp,,"• Unique admissions: requires MITx DEDP MicroMasters credential, waiving traditional standardized tests like GRE/GMAT.
• Specialized curriculum: focuses on data, economics, and policy design for global development challenges, including a capstone project.
• Dual track options: offers International Development and Public Policy tracks for diverse career pathways.
• Interdisciplinary partnership: jointly administered by MIT Economics and J-PAL, focusing on evidence-based poverty alleviation."
Harvard University,MPP,Master in Public Policy,哈佛大学肯尼迪学院,,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,,"• STEM-designated Data and Research Methods track for quantitative analysis.
• Curriculum sharpening public service skills through action-oriented social sciences.
• Admissions favoring leadership, quantitative proficiency, and public service commitment.
• Incoming students typically bring 2-3 years of professional work experience."
Harvard University,MPP / ID,Master in Public Administration in International Development,哈佛大学肯尼迪学院,,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,,"• STEM-designated Master in Public Administration in International Development (MPA/ID) program.
• Rigorous quantitative foundation including economics, microeconomics, macroeconomics, and multivariable calculus.
• Advanced analytic and research methods training, with courses like Machine Learning and Big Data Analytics.
• Professional development focus, preferring two or more years of development-related work experience."
Harvard University,MPP,Master in Public Administration,哈佛大学肯尼迪学院,,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,,The
Harvard University,MC/MPA,Mid-Career Master in Public Administration,哈佛大学肯尼迪学院,,https://www.hks.harvard.edu/admissions-aid/masters-program-admissions/how-apply,https://www.hks.harvard.edu/admissions-blog/data-research-methods-track,,
Stanford University,PhD,‌Education Data Science,教育学院,,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/doctoral,,"• Interdisciplinary research across various fields, supported by four faculty-led Research Centers.
• Cutting-edge GPU-centric computing instrument, Marlowe, for large-scale data-intensive research and machine learning.
• Dedicated scholar programs identifying and developing exceptional graduate and postdoc researchers in data-intensive methods.
• Research opportunities in computational data science, machine learning, and statistical analysis.
• Application of data science to educational challenges, including early childhood development and digital learning."
Stanford University,MS,Education Data Science (MS),教育学院,,https://ed.stanford.edu/admissions/application-reqs/programs,https://ed.stanford.edu/academics/masters,,Not found
Stanford University,PhD,Biomedical Data Science,生物科学学院,,https://biosciences.stanford.edu/how-to-apply/,https://biosciences.stanford.edu/program-overview/,,
