大学排名,大学名称,大学英文名称,所在城市,专业中文名称,学位,专业英文名称,所属院系,专业领域,课程长度,申请费（美元),开学期,截止日期,GPA,托福,雅思,GRE,GMAT,学术背景,材料要求,招生网址,专业网址
3,哈佛大学,Harvard University,"Cambridge, MA",数据科学 SEAS,MS,Data Science SEAS,约翰·保尔森工程与应用科学学院,该计划侧重于诸如可重复数据分析，协作问题解决，可视化和通信以及数据科学中出现的安全和道德问题等主题,3学期,$105 ,秋季,12 月 1 日,要求,80,6.5,不要求,不接受,拥有自然科学，数学或工程学士学位的学生可以申请入学,The statement of purpose;C.V. or Resume;Three letters of recommendation; transcripts,https://seas.harvard.edu/masters-data-science/how-apply,https://seas.harvard.edu/masters-data-science
3,哈佛大学,Harvard University,"Cambridge, MA",数据科学,MS,Data Science,Harvard Extension School,,,$100 ,夏季、秋季、春季,夏季（7 月 1 日 – 8 月 1 日）、秋季（11 月 1 日 – 12月 1 日）、春季（3月 1 5日 – 4月 15 日）,3,100,7,无要求,无要求,兼职在线的硕士项目，但可以通过暑期学校项目获取F1签证https://summer.harvard.edu/adult-college-students/course-registration/international-student-registration/,,https://extension.harvard.edu/registration-admissions/degree-program-admissions/how-to-apply-to-a-graduate-degree-program/,https://extension.harvard.edu/academics/programs/data-science-graduate-program/
3,斯坦福大学,Stanford University,"Stanford, CA",数据科学,MS,Data Science,工程学院,,2年,$125 ,秋季,1月31日,要求,89，低于109入学后需参加“English placement testing‘，建议113,不接受,不要求,不接受,数学的坚实基础，包括线性代数，数值方法，概率，随机性，统计理论和C ++和r的编程熟练,Statement of Purpose；Letters of Recommendation；Transcripts；,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science
3,斯坦福大学,Stanford University,"Stanford, CA",数据科学,MS,Data Science,人文科学学院,,,$125 ,秋季,1月15日,3.5,100，低于109入学后需参加“English placement testing‘,不接受,要求,不接受,,Statement of Purpose；letters of recommendation；Transcripts；Resume/CV,https://statistics.stanford.edu/msadmissionsms/how-apply,https://statistics.stanford.edu/graduate-programs/statistics-ms/statistics-data-science-curriculum
3,耶鲁大学,Yale University,"New Haven, CT",统计学和数据科学,MS,Statistics and Data Science,艺术与科学研究生院,,,$105 ,秋季,12月1日,要求,要求,要求,可选; 数学科目考试可选,不接受,,"letters of recommendation,  transcripts，A personal statement of purpose",https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/terminal-ma-program
3,耶鲁大学,Yale University,"New Haven, CT",统计学和数据科学,PH.D.,Statistics and Data Science,艺术与科学研究生院,研究领域包括统计理论的主要领域（重点是基础、贝叶斯理论、决策理论、非参数统计）、概率论（随机过程、渐近、弱收敛）、信息论、生物信息学和遗传学、分类、数据挖掘和机器学习、神经网络、网络科学、优化、统计计算以及图形模型和方法。,,$105 ,秋季,12月15日,要求,要求，口语低于25分需要参加课前语言课程,要求，口语低于7.5需要参加课前语言培训,可选; 数学科目考试可选,不接受,"All applicants should have a strong mathematical background, including advanced calculus, linear algebra, elementary probability theory, and at least one course providing an introduction to mathematical statistics. An undergraduate major may be in statistics, mathematics, computer science, or in a subject in which significant statistical problems may arise.","letters of recommendation,  transcripts，A personal statement of purpose",https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/phd-program
6,宾夕法尼亚大学,University of Pennsylvania,"Philadelphia, PA",统计和数据科学 ,PHD,Statistics and Data Science ,商学院,观察性研究分析; 贝叶斯推断，生物信息学; 计算生物学; 决策理论; 博弈论; 基因组学; 高维推理; 信息论; 机器学习; 模型选择; 非参数函数估计; 和时间序列分析。,,$80 ,秋季,12月15日,要求,要求，过往均分107，阅读：29、听力：28、口语：23、写作：26,不接受,要求，过往录取平均成绩V159+Q165+4.0,不接受,拥有强大的数学本科背景。需要了解线性代数和高级微积分，并且对实际分析的经验,Personal Statement；essay；recommendations；transcripts,https://doctoral.wharton.upenn.edu/application-requirements/,https://doctoral.wharton.upenn.edu/statistics/
6,宾夕法尼亚大学,University of Pennsylvania,"Philadelphia, PA",数据科学,MSE,Data Science,工程学院,,1.5-2年,$90 ,秋季,11月1日；2月3日,要求,推荐100,推荐7.5,可选，但鼓励提交,不接受,具有较强数学和统计熟练程度以及一些编程经验,Biographical information;Resume;Personal Statement;Letters of Recommendation;Transcript ,https://gradadm.seas.upenn.edu/how-to-apply/,https://dats.seas.upenn.edu/
7,杜克大学,Duke University,"Durham, NC",电气和计算机工程-机器学习与大数据,MS,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,,1.5-2年,$95 ,秋季,1月16日 ;2月27日,要求,90,7,可选,不接受,,Transcripts；Letters of recommendation；Statement of purpose；Resume,https://gradschool.duke.edu/academics/programs-degrees/electrical-and-computer-engineering-ms/,https://ece.duke.edu/academics/masters/ms/
7,杜克大学,Duke University,"Durham, NC",电气和计算机工程-机器学习与大数据,Meng,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,,1.5-2年,$75 ,秋季,1月15日；3月15日,过往均分3.6-3.9,要求，过往均分102-109,要求，过往均分7.0-7.5,可选，过往均分V155-162;Q168-170,不接受,Duolingo首选，过往均分115-130,Transcripts；Letters of recommendation；Statement of purpose；Resume,https://masters.pratt.duke.edu/apply/requirements/,https://ece.duke.edu/academics/masters/meng/
7,杜克大学,Duke University,"Durham, NC",统计科学（数据科学与分析）,MS,Statistical Science（Data Science & Analytics ）,文理学院,,2年,$95 ,秋季,1月6日,过往均分3.8,90,7,要求，过往均分V160+Q168,不接受,,Transcripts；Letters of recommendation；Statement of purpose；Resume,https://gradschool.duke.edu/academics/programs-degrees/statistical-science-ms/,https://stat.duke.edu/ms/ms-focus-areas-tracks
7,杜克大学,Duke University,"Durham, NC",跨学科数据科学,MS,Interdisciplinary Data Science,文理学院,,2年,$95 ,秋季,2月13日,要求,90,7,可选,不接受,,Transcripts；Letters of recommendation；Statement of purpose；Resume； writing sample,https://gradschool.duke.edu/academics/programs-degrees/master-interdisciplinary-data-science/,https://datascience.duke.edu/
7,杜克大学,Duke University,"Durham, NC",电气和计算机工程（昆山校区）,MENG,Electrical and Computer Engineering,杜克昆山分校,软件开发; 大数据分析,,$95 ,秋季,12 月 15 日；1月 15 日,要求，过往均分3.7,90,7,24年可选,不接受,,Transcripts；Letters of recommendation；Statement of purpose；Resume,https://iapse.dukekunshan.edu.cn/ece/admissions/how-to-apply/,https://iapse.dukekunshan.edu.cn/ece/
9,布朗大学," 
Brown University","Providence, RI",数据科学,MS,Data Science,研究生院,通过研究数学，统计学和计算机科学中的相关主题，包括机器学习，数据挖掘，安全和隐私，可视化，以及数据科学的方法和算法，提供基本的理解,,$100 ,秋季,2 月 1 日,要求,90,7,不要求,不接受,建议进入该课程的学生至少完成一年的微积分，一个学期的线性代数（，一个学期的微积分概率和统计，以及编程介绍。我们还承认缺乏线性代数，概率和统计学以及计算机科学中一项或多项最低要求的优秀学生。这些学生将在课程开始前在布朗或其他地方参加课程以达到必要的准备,Personal Statement ;Transcripts;Letters of Recommendation ;Resume,https://graduateprograms.brown.edu/graduate-program/data-science-scm,https://dsi.brown.edu/academics/masters-degree
