大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,所属院系网址,招生网址,专业网址,valid_response_count,consistency_type,consistency_detail,response_1,response_1_valid,response_2,response_2_valid,response_3,response_3_valid
Harvard University,MS,Data Science SEAS,约翰·保尔森工程与应用科学学院,Harvard John A. Paulson School of Engineering and Applied Sciences,https://seas.harvard.edu,https://seas.harvard.edu/masters-data-science/how-apply,https://seas.harvard.edu/masters-data-science,3,all_valid_same,All 3 valid responses are identical,"Harvard John A. Paulson School of Engineering and Applied Sciences, https://seas.harvard.edu",TRUE,"Harvard John A. Paulson School of Engineering and Applied Sciences, https://seas.harvard.edu",TRUE,"Harvard John A. Paulson School of Engineering and Applied Sciences, https://seas.harvard.edu",TRUE
Harvard University,MS,Data Science,Harvard Extension School,Harvard Extension School,https://extension.harvard.edu,https://extension.harvard.edu/registration-admissions/degree-program-admissions/how-to-apply-to-a-graduate-degree-program/,https://extension.harvard.edu/academics/programs/data-science-graduate-program/,3,all_valid_same,All 3 valid responses are identical,"Harvard Extension School, https://extension.harvard.edu",TRUE,"Harvard Extension School, https://extension.harvard.edu",TRUE,"Harvard Extension School, https://extension.harvard.edu",TRUE
Stanford University,MS,Data Science,工程学院,School of Engineering,https://engineering.stanford.edu,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,3,majority_valid_same,2 valid responses are identical,"School of Engineering, https://engineering.stanford.edu",TRUE,"Stanford University School of Engineering, https://engineering.stanford.edu",TRUE,"School of Engineering, https://engineering.stanford.edu",TRUE
Stanford University,MS,Data Science,人文科学学院,School of Humanities and Sciences,https://humsci.stanford.edu/,https://statistics.stanford.edu/msadmissionsms/how-apply,https://statistics.stanford.edu/graduate-programs/statistics-ms/statistics-data-science-curriculum,3,majority_valid_same,2 valid responses are identical,"School of Humanities and Sciences, https://humsci.stanford.edu/",TRUE,"School of Humanities and Sciences, https://humsci.stanford.edu",TRUE,"School of Humanities and Sciences, https://humsci.stanford.edu/",TRUE
Yale University,MS,Statistics and Data Science,艺术与科学研究生院,Graduate School of Arts and Sciences,https://gsas.yale.edu,https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/terminal-ma-program,3,all_valid_same,All 3 valid responses are identical,"Graduate School of Arts and Sciences, https://gsas.yale.edu",TRUE,"Graduate School of Arts and Sciences, https://gsas.yale.edu",TRUE,"Graduate School of Arts and Sciences, https://gsas.yale.edu",TRUE
Yale University,PH.D.,Statistics and Data Science,艺术与科学研究生院,Graduate School of Arts and Sciences,https://gsas.yale.edu,https://gsas.yale.edu/programs-of-study/statistics-data-science,https://statistics.yale.edu/academics/phd-program,3,majority_valid_same,2 valid responses are identical,"Graduate School of Arts and Sciences, https://gsas.yale.edu/",TRUE,"Graduate School of Arts and Sciences, https://gsas.yale.edu",TRUE,"Graduate School of Arts and Sciences, https://gsas.yale.edu",TRUE
University of Pennsylvania,PHD,Statistics and Data Science ,商学院,The Wharton School,https://www.wharton.upenn.edu/,https://doctoral.wharton.upenn.edu/application-requirements/,https://doctoral.wharton.upenn.edu/statistics/,3,all_valid_different,"All valid responses are different, randomly selected","The Wharton School, https://wharton.upenn.edu",TRUE,"The Wharton School, https://www.wharton.upenn.edu/",TRUE,"The Wharton School, https://www.wharton.upenn.edu",TRUE
University of Pennsylvania,MSE,Data Science,工程学院,School of Engineering and Applied Science,https://www.seas.upenn.edu/,https://gradadm.seas.upenn.edu/how-to-apply/,https://dats.seas.upenn.edu/,2,all_valid_different,"All valid responses are different, randomly selected","The content of both URLs clearly indicates ""Penn Engineering"" and ""School of Engineering and Applied Science"" at the University of Pennsylvania.
The Admissions URL () has ""Penn Engineering Graduate Admissions"" in its title and content. It also mentions ""University of Pennsylvania, Dept: SEAS Graduate Admissions (Engineering)"".
The Program URL () has ""Penn Engineering Logo"" and states ""School of Engineering & Applied Science University of Pennsylvania"" in its footer.

The school name is ""School of Engineering and Applied Science"".
From the URLs provided, the most authoritative homepage URL for this school appears to be within the `seas.upenn.edu` domain.

Let's check the base URL `https://www.seas.upenn.edu/` to confirm it's the main homepage for ""School of Engineering and Applied Science"".",FALSE,"School of Engineering and Applied Science, https://www.seas.upenn.edu",TRUE,"School of Engineering and Applied Science, https://www.seas.upenn.edu/",TRUE
Duke University,MS,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,Pratt School of Engineering,https://pratt.duke.edu,https://gradschool.duke.edu/academics/programs-degrees/electrical-and-computer-engineering-ms/,https://ece.duke.edu/academics/masters/ms/,3,all_valid_different,"All valid responses are different, randomly selected","Pratt School of Engineering, https://pratt.duke.edu/",TRUE,"Duke Pratt School of Engineering, https://pratt.duke.edu",TRUE,"Pratt School of Engineering, https://pratt.duke.edu",TRUE
Duke University,Meng,Electrical and Computer Engineering-Machine Learning & Big Data,工程学院,Pratt School of Engineering,https://pratt.duke.edu,https://masters.pratt.duke.edu/apply/requirements/,https://ece.duke.edu/academics/masters/meng/,3,all_valid_different,"All valid responses are different, randomly selected","Pratt School of Engineering, https://pratt.duke.edu",TRUE,"Duke Pratt School of Engineering, https://pratt.duke.edu/",TRUE,"Duke Pratt School of Engineering, https://pratt.duke.edu",TRUE
Duke University,MS,Statistical Science（Data Science & Analytics ）,文理学院,The Graduate School,https://gradschool.duke.edu,https://gradschool.duke.edu/academics/programs-degrees/statistical-science-ms/,https://stat.duke.edu/ms/ms-focus-areas-tracks,3,all_valid_same,All 3 valid responses are identical,"The Graduate School, https://gradschool.duke.edu",TRUE,"The Graduate School, https://gradschool.duke.edu",TRUE,"The Graduate School, https://gradschool.duke.edu",TRUE
Duke University,MS,Interdisciplinary Data Science,文理学院,The Graduate School,https://gradschool.duke.edu,https://gradschool.duke.edu/academics/programs-degrees/master-interdisciplinary-data-science/,https://datascience.duke.edu/,3,majority_valid_same,2 valid responses are identical,"The Graduate School, https://gradschool.duke.edu/",TRUE,"The Graduate School, https://gradschool.duke.edu",TRUE,"The Graduate School, https://gradschool.duke.edu",TRUE
