排名,大学名称,大学英文名称,所在城市,专业中文名称,专业英文名称,所属院系,所属院系（英文）,所属院系网址,学位,专业领域,课程长度,申请费（美元),开学期,截止日期,GPA,托福,雅思,GRE,GMAT,学术背景,材料要求,招生网址,专业网址
1,普林斯顿大学,Princeton University,"Princeton, NJ",应用与计算数学,Applied and Computational Mathematics,应用与计算数学,Graduate School,https://gradschool.princeton.edu,Ph.D. ,渐近、分析、数值分析和信号处理；离散数学、组合数学、算法、计算几何和图形；力学和场论（包括计算物理/化学/生物学）；优化（包括线性和非线性规划和控制理论）；偏微分方程和常微分方程（包括动力系统）；和随机建模、概率、统计和信息论。,4年,$75 ,秋季,12月15日,要求,要求（需参加入学测试，或需要参加英语课程）,接受（需参加入学测试，或需参加英语课程）,25年可选/但强烈推荐；数学、物理、工程或相关领域的科目考试25年可选，但强烈推荐,不要求,,Statement of Academic Purpose；Resume/Curriculum Vitae；ecommendation Letters；Transcripts；Fall Semester Grades；,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/applied-and-computational-math,https://www.pacm.princeton.edu/graduate
1,普林斯顿大学,Princeton University,"Princeton, NJ",数学,Mathematics,数学系,Graduate School,https://gradschool.princeton.edu,Ph.D. ,,4年,$75 ,秋季,12月15日,要求,要求（需参加入学测试，或需要参加英语课程）,接受（需参加入学测试，或需参加英语课程）,GRE一般考试25年不要求，数学科目考试25年可选,不要求,,Statement of Academic Purpose；Resume/Curriculum Vitae；ecommendation Letters；Transcripts；Fall Semester Grades；,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/mathematics,https://www.math.princeton.edu/graduate
2,麻省理工学院,Massachusetts Institute of Technology,"Cambridge, MA",数学,Mathematics,数学系,Department of Mathematics,https://math.mit.edu,PhD,纯数学和应用数学,,$90 ,秋季,"
12月15日",要求,90,6,可选，科目考试可选,不接受,,Statement of objectives；Three letters of recommendation；Transcripts,https://oge.mit.edu/programs/mathematics/,https://math.mit.edu/academics/grad/index.html
2,麻省理工学院,Massachusetts Institute of Technology,"Cambridge, MA",数学,Mathematics,数学系,Department of Mathematics,https://math.mit.edu,ScD,纯数学和应用数学,,$90 ,秋季,"
12月15日",要求,90,6,可选，科目考试可选,不接受,,Statement of objectives；Three letters of recommendation；Transcripts,https://oge.mit.edu/programs/mathematics/,https://math.mit.edu/academics/grad/index.html
3,哈佛大学,Harvard University,"Cambridge, MA",应用数学 SEAS,Applied Mathematics SEAS,约翰·保尔森工程与应用科学学院,Harvard John A. Paulson School of Engineering and Applied Sciences,https://seas.harvard.edu,PhD,计算神经科学；控制理论和随机系统；经济学与计算；模拟物理/生物现象和系统；计算理论,4-5年,$105 ,秋季,12月15日,要求,80，口语低于26分需进行入学测试或进行语言培训,6.5，口语低于8.0分需进行入学测试或进行语言培训,不要求,不接受,拥有自然科学，数学或工程学士学位的学生可以申请入学,The statement of purpose;C.V. or Resume;Three letters of recommendation; transcripts,https://seas.harvard.edu/applied-mathematics/graduate-program/how-apply,https://seas.harvard.edu/applied-mathematics/phd-applied-mathematics
3,哈佛大学,Harvard University,"Cambridge, MA",数学,Mathematics,文理研究生院,The Harvard Kenneth C. Griffin Graduate School of Arts and Sciences,https://gsas.harvard.edu,PhD,,4-5年,$105 ,秋季,12月15日,要求,80，口语低于26分需进行入学测试或进行语言培训,6.5，口语低于8.0分需进行入学测试或进行语言培训,GRE普通考试不要求，GRE数学科目考试要求提供,不接受,,The statement of purpose;C.V. or Resume;Three letters of recommendation; transcripts,https://gsas.harvard.edu/program/mathematics,https://www.math.harvard.edu/graduate/
3,斯坦福大学,Stanford University,"Stanford, CA",计算和数学工程 ,Computational and Mathematical Engineering ,工程学院,School of Engineering,https://engineering.stanford.edu/,PhD,统计和数据科学，机器和深度学习，控制，优化，数值分析，应用数学，高性能计算，地球科学，流动物理学，图形学，生物工程，基因组学，经济学和金融数学，分子动力学等等。,,$125 ,秋季,11月29日,要求,100，低于109入学后需参加“English placement testing‘,不接受,不要求,不接受,,Statement of Purpose；Letters of Recommendation；Transcripts；,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-doctor-philosophy
3,斯坦福大学,Stanford University,"Stanford, CA",计算和数学工程 ,Computational and Mathematical Engineering ,工程学院,School of Engineering,https://engineering.stanford.edu,MS,,2年,$125 ,秋季,1月31日,要求,89，低于109入学后需参加“English placement testing‘，建议113,不接受,不要求,不接受,具有强大的数学基础，包括线性代数，数值方法，概率，偏微分方程以及FORTRAN或C ++的编程熟练,Statement of Purpose；Letters of Recommendation；Transcripts；,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science
3,斯坦福大学,Stanford University,"Stanford, CA",数学和计算金融学,Mathematical and Computational Finance,工程学院,Stanford University School of Engineering,https://engineering.stanford.edu/,MS,,2年,$125 ,秋季,1月31日,要求,89，低于109入学后需参加“English placement testing‘，建议113,不接受,不要求,不接受,强大的数学基础，包括线性代数，数值方法，概率，随机性，实际分析/编程，编程，C ++熟练程度以及对金融/实习或行业经验的兴趣,Statement of Purpose；Letters of Recommendation；Transcripts；,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science
3,斯坦福大学,Stanford University,"Stanford, CA",数学 ,Mathematics ,人文科学学院,School of Humanities and Sciences,https://humsci.stanford.edu/,PhD,Algebraic Geometry；Analysis/PDE；Applied Math；Combinatorics；Financial Math；Geometry；Number Theory；Probability；Representation Theory；Symplectic Geometry；Topology,5年,$125 ,秋季,12月3日,3.5,100，低于109入学后需参加“English placement testing‘,不接受,要求GRE数学科目考试成绩,不接受,,Statement of Purpose；letters of recommendation；Transcripts,https://mathematics.stanford.edu/academics/graduate-admissions,https://mathematics.stanford.edu/academics/graduate-students/phd-program
3,耶鲁大学,Yale University,"New Haven, CT",应用数学,Applied Mathematics,艺术与科学研究生院,Graduate School of Arts and Sciences,https://gsas.yale.edu,Ph.D,,6年,$105 ,秋季,1月2日,要求,要求，口语低于25分需要参加课前语言课程,要求，口语低于7.5需要参加课前语言培训,可选，鼓励提交数学科目考试成绩,不接受,,A personal statement of purpose；Transcripts ；Three recommenders,https://gsas.yale.edu/programs-of-study/applied-mathematics,https://applied.math.yale.edu/graduate-program-0
3,耶鲁大学,Yale University,"New Haven, CT",数学,Mathematics,艺术与科学研究生院,Graduate School of Arts and Sciences,https://gsas.yale.edu,PH.D.,,,$105 ,秋季,12月15日 ,要求,要求，口语低于25分需要参加课前语言课程,要求，口语低于7.5需要参加课前语言培训,可选; 数学科目考试要求提供,不接受,,"recommendation letters, transcripts，A personal statement of purpose",https://gsas.yale.edu/programs-of-study/mathematics,https://math.yale.edu/graduate-programs
6,宾夕法尼亚大学,University of Pennsylvania,"Philadelphia, PA",应用数学和计算科学,Applied Math and Computational Science,文理学院,School of Arts and Sciences,https://www.sas.upenn.edu,MA,面向希望进入应用数学职业生涯或希望获得足够的应用数学背景以成为应用数学和计算科学、应用数学、数学、统计学、金融数学等博士课程的有力候选人的学生,,$90 ,秋季,2月1日,要求,要求,,数学科目 GRE 是必需的，GRE一般考试不要求,不接受,应具备与本科数学专业相当的数学背景,Personal Statement； Letter of Recommendation；transcripts,https://amcs.upenn.edu/admission/,https://amcs.upenn.edu/masters-program/
6,宾夕法尼亚大学,University of Pennsylvania,"Philadelphia, PA",应用数学和计算科学,Applied Math and Computational Science,文理学院,School of Arts and Sciences,https://www.sas.upenn.edu,PHD,"从事跨学科研究项目，这些项目包括图像分析、机器人学、机器学习、数学生物学、生物信息学和基因组学，以及更传统的应用数学领域，如材料科学、流体力学、数值分析、逆散射、金融, 凝聚态物理。",,$90 ,秋季,1月1日,要求,要求,,数学科目 GRE 是必需的，GRE一般考试不要求,不接受,应具备与本科数学专业相当的数学背景,Personal Statement； Letter of Recommendation；transcripts,https://amcs.upenn.edu/admission/,https://amcs.upenn.edu/phd-program/
