大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,学费
Princeton University,Ph.D. ,Applied and Computational Mathematics,应用与计算数学,Graduate School,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/applied-and-computational-math,https://www.pacm.princeton.edu/graduate,https://gradschool.princeton.edu,
Princeton University,Ph.D. ,Mathematics,数学系,Graduate School,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/mathematics,https://www.math.princeton.edu/graduate,https://gradschool.princeton.edu,
Massachusetts Institute of Technology,PhD,Mathematics,数学系,Department of Mathematics,https://oge.mit.edu/programs/mathematics/,https://math.mit.edu/academics/grad/index.html,https://math.mit.edu,
Massachusetts Institute of Technology,ScD,Mathematics,数学系,Department of Mathematics,https://oge.mit.edu/programs/mathematics/,https://math.mit.edu/academics/grad/index.html,https://math.mit.edu,
Harvard University,PhD,Applied Mathematics SEAS,约翰·保尔森工程与应用科学学院,Harvard John A. Paulson School of Engineering and Applied Sciences,https://seas.harvard.edu/applied-mathematics/graduate-program/how-apply,https://seas.harvard.edu/applied-mathematics/phd-applied-mathematics,https://seas.harvard.edu,
Harvard University,PhD,Mathematics,文理研究生院,The Harvard Kenneth C. Griffin Graduate School of Arts and Sciences,https://gsas.harvard.edu/program/mathematics,https://www.math.harvard.edu/graduate/,https://gsas.harvard.edu,
Stanford University,PhD,Computational and Mathematical Engineering ,工程学院,School of Engineering,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-doctor-philosophy,https://engineering.stanford.edu/,
Stanford University,MS,Computational and Mathematical Engineering ,工程学院,School of Engineering,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,https://engineering.stanford.edu,
Stanford University,MS,Mathematical and Computational Finance,工程学院,Stanford University School of Engineering,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,https://engineering.stanford.edu/,
Stanford University,PhD,Mathematics ,人文科学学院,School of Humanities and Sciences,https://mathematics.stanford.edu/academics/graduate-admissions,https://mathematics.stanford.edu/academics/graduate-students/phd-program,https://humsci.stanford.edu/,
Yale University,Ph.D,Applied Mathematics,艺术与科学研究生院,Graduate School of Arts and Sciences,https://gsas.yale.edu/programs-of-study/applied-mathematics,https://applied.math.yale.edu/graduate-program-0,https://gsas.yale.edu,
Yale University,PH.D.,Mathematics,艺术与科学研究生院,Graduate School of Arts and Sciences,https://gsas.yale.edu/programs-of-study/mathematics,https://math.yale.edu/graduate-programs,https://gsas.yale.edu,
University of Pennsylvania,MA,Applied Math and Computational Science,文理学院,School of Arts and Sciences,https://amcs.upenn.edu/admission/,https://amcs.upenn.edu/masters-program/,https://www.sas.upenn.edu,
University of Pennsylvania,PHD,Applied Math and Computational Science,文理学院,School of Arts and Sciences,https://amcs.upenn.edu/admission/,https://amcs.upenn.edu/phd-program/,https://www.sas.upenn.edu,
University of Pennsylvania,AM,Mathematics,文理学院,School of Arts and Sciences,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description,https://www.sas.upenn.edu/,
University of Pennsylvania,M.Phil,Mathematics,文理学院,School of Arts and Sciences,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description,https://www.sas.upenn.edu,
University of Pennsylvania,phd+ms,Mathematics,文理学院,School of Arts and Sciences,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/csma,https://www.sas.upenn.edu,
University of Pennsylvania,phd+ms,Mathematics,文理学院,School of Arts and Sciences,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/statma,https://www.sas.upenn.edu,
University of Pennsylvania,PHD,Mathematics,文理学院,School of Arts and Sciences,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description#phd,https://www.sas.upenn.edu,
Duke University,PHD,Mathematics,文理学院,The Graduate School,https://gradschool.duke.edu/academics/programs-degrees/mathematics/,https://math.duke.edu/graduate,https://gradschool.duke.edu,
California Institute of Technology,PHD,Applied and Computational Mathematics,工程与应用科学学部,Division of Engineering and Applied Science,https://www.cms.caltech.edu/academics/grad,https://www.cms.caltech.edu/academics/grad/grad_acm,https://eas.caltech.edu,
California Institute of Technology,PHD,Computing + Mathematical Sciences,工程与应用科学学部,Division of Engineering and Applied Science,https://www.cms.caltech.edu/academics/grad,https://www.cms.caltech.edu/academics/grad/grad_cms,https://eas.caltech.edu,
California Institute of Technology,PHD,Mathematics,物理，数学和天文学系,The Division of Physics,https://www.pma.caltech.edu/admissions-and-financial-support,https://www.pma.caltech.edu/research-and-academics/mathematics/math-graduate-studies,https://www.pma.caltech.edu,
" 
Brown University",PHD,Applied Mathematics,研究生院,Graduate School,https://graduateprograms.brown.edu/graduate-program/applied-mathematics-phd,https://appliedmath.brown.edu/graduate,https://graduateprograms.brown.edu,
" 
Brown University",PHD,Mathematics,研究生院,Graduate School,https://graduateprograms.brown.edu/graduate-program/mathematics-phd,https://www.brown.edu/academics/math/graduate,https://www.brown.edu/academics/gradschool/,
Northwestern University,MS,MS in Engineering Sciences and Applied Mathematics,工程与应用科学学院,McCormick School of Engineering and Applied Science,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/masters/admissions.html,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/masters/,https://www.mccormick.northwestern.edu,
