大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,所属院系网址,招生网址,专业网址,valid_response_count,consistency_type,consistency_detail,response_1,response_1_valid,response_2,response_2_valid,response_3,response_3_valid
Princeton University,Ph.D. ,Applied and Computational Mathematics,应用与计算数学,Graduate School,https://gradschool.princeton.edu,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/applied-and-computational-math,https://www.pacm.princeton.edu/graduate,3,all_valid_same,All 3 valid responses are identical,"Graduate School, https://gradschool.princeton.edu",True,"Graduate School, https://gradschool.princeton.edu",True,"Graduate School, https://gradschool.princeton.edu",True
Princeton University,Ph.D. ,Mathematics,数学系,Graduate School,https://gradschool.princeton.edu,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/mathematics,https://www.math.princeton.edu/graduate,3,majority_valid_same,2 valid responses are identical,"Department of Mathematics, https://www.math.princeton.edu",True,"Graduate School, https://gradschool.princeton.edu",True,"Graduate School, https://gradschool.princeton.edu",True
Massachusetts Institute of Technology,PhD,Mathematics,数学系,Department of Mathematics,https://math.mit.edu,https://oge.mit.edu/programs/mathematics/,https://math.mit.edu/academics/grad/index.html,3,majority_valid_same,2 valid responses are identical,"Department of Mathematics, https://math.mit.edu",True,"Department of Mathematics, https://math.mit.edu/",True,"Department of Mathematics, https://math.mit.edu",True
Massachusetts Institute of Technology,ScD,Mathematics,数学系,Department of Mathematics,https://math.mit.edu,https://oge.mit.edu/programs/mathematics/,https://math.mit.edu/academics/grad/index.html,2,all_valid_same,All 2 valid responses are identical,"Department of Mathematics, https://math.mit.edu",True,"Department of Mathematics, https://math.mit.edu",True,,False
Harvard University,PhD,Applied Mathematics SEAS,约翰·保尔森工程与应用科学学院,Harvard John A. Paulson School of Engineering and Applied Sciences,https://seas.harvard.edu,https://seas.harvard.edu/applied-mathematics/graduate-program/how-apply,https://seas.harvard.edu/applied-mathematics/phd-applied-mathematics,3,all_valid_same,All 3 valid responses are identical,"Harvard John A. Paulson School of Engineering and Applied Sciences, https://seas.harvard.edu",True,"Harvard John A. Paulson School of Engineering and Applied Sciences, https://seas.harvard.edu",True,"Harvard John A. Paulson School of Engineering and Applied Sciences, https://seas.harvard.edu",True
Harvard University,PhD,Mathematics,文理研究生院,The Harvard Kenneth C. Griffin Graduate School of Arts and Sciences,https://gsas.harvard.edu,https://gsas.harvard.edu/program/mathematics,https://www.math.harvard.edu/graduate/,3,all_valid_same,All 3 valid responses are identical,"The Harvard Kenneth C. Griffin Graduate School of Arts and Sciences, https://gsas.harvard.edu",True,"The Harvard Kenneth C. Griffin Graduate School of Arts and Sciences, https://gsas.harvard.edu",True,"The Harvard Kenneth C. Griffin Graduate School of Arts and Sciences, https://gsas.harvard.edu",True
Stanford University,PhD,Computational and Mathematical Engineering ,工程学院,School of Engineering,https://engineering.stanford.edu/,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-doctor-philosophy,3,all_valid_different,"All valid responses are different, randomly selected","School of Engineering, http://engineering.stanford.edu",True,"School of Engineering, https://engineering.stanford.edu",True,"School of Engineering, https://engineering.stanford.edu/",True
Stanford University,MS,Computational and Mathematical Engineering ,工程学院,School of Engineering,https://engineering.stanford.edu,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,3,all_valid_same,All 3 valid responses are identical,"School of Engineering, https://engineering.stanford.edu",True,"School of Engineering, https://engineering.stanford.edu",True,"School of Engineering, https://engineering.stanford.edu",True
Stanford University,MS,Mathematical and Computational Finance,工程学院,Stanford University School of Engineering,https://engineering.stanford.edu/,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,2,all_valid_different,"All valid responses are different, randomly selected","Stanford University School of Engineering, https://engineering.stanford.edu/",True,"School of Engineering, https://engineering.stanford.edu",True,,False
Stanford University,PhD,Mathematics ,人文科学学院,School of Humanities and Sciences,https://humsci.stanford.edu/,https://mathematics.stanford.edu/academics/graduate-admissions,https://mathematics.stanford.edu/academics/graduate-students/phd-program,2,all_valid_different,"All valid responses are different, randomly selected","School of Humanities and Sciences, https://humsci.stanford.edu",True,"School of Humanities and Sciences, https://humsci.stanford.edu/",True,,False
