大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,申请费减免,判断状态,有效回答数,总回答数,Response 1 分类,Response 2 分类,Response 3 分类
Princeton University,Ph.D. ,Applied and Computational Mathematics,应用与计算数学,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/applied-and-computational-math,https://www.pacm.princeton.edu/graduate,applicable,只有一个有效回答,1,3,invalid,applicable,invalid
Princeton University,Ph.D. ,Mathematics,数学系,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/mathematics,https://www.math.princeton.edu/graduate,applicable,所有2个有效回答一致,2,3,invalid,applicable,applicable
Massachusetts Institute of Technology,PhD,Mathematics,数学系,https://oge.mit.edu/programs/mathematics/,https://math.mit.edu/academics/grad/index.html,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Massachusetts Institute of Technology,ScD,Mathematics,数学系,https://oge.mit.edu/programs/mathematics/,https://math.mit.edu/academics/grad/index.html,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Harvard University,PhD,Applied Mathematics SEAS,约翰·保尔森工程与应用科学学院,https://seas.harvard.edu/applied-mathematics/graduate-program/how-apply,https://seas.harvard.edu/applied-mathematics/phd-applied-mathematics,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Harvard University,PhD,Mathematics,文理研究生院,https://gsas.harvard.edu/program/mathematics,https://www.math.harvard.edu/graduate/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Stanford University,PhD,Computational and Mathematical Engineering ,工程学院,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-doctor-philosophy,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Stanford University,MS,Computational and Mathematical Engineering ,工程学院,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Stanford University,MS,Mathematical and Computational Finance,工程学院,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,applicable,所有2个有效回答一致,2,2,applicable,invalid,applicable
Stanford University,PhD,Mathematics ,人文科学学院,https://mathematics.stanford.edu/academics/graduate-admissions,https://mathematics.stanford.edu/academics/graduate-students/phd-program,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
