大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,课程网址,处理状态,有效URL数量,置信度分数,发现课程编号
Princeton University,Ph.D. ,Applied and Computational Mathematics,应用与计算数学,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/applied-and-computational-math,https://www.pacm.princeton.edu/graduate,,所有URL内容获取失败,0,0,
Princeton University,Ph.D. ,Mathematics,数学系,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/mathematics,https://www.math.princeton.edu/graduate,,所有URL内容获取失败,0,0,
Massachusetts Institute of Technology,PhD,Mathematics,数学系,https://oge.mit.edu/programs/mathematics/,https://math.mit.edu/academics/grad/index.html,,所有URL内容获取失败,0,0,
Massachusetts Institute of Technology,ScD,Mathematics,数学系,https://oge.mit.edu/programs/mathematics/,https://math.mit.edu/academics/grad/index.html,,所有URL内容获取失败,0,0,
Harvard University,PhD,Applied Mathematics SEAS,约翰·保尔森工程与应用科学学院,https://seas.harvard.edu/applied-mathematics/graduate-program/how-apply,https://seas.harvard.edu/applied-mathematics/phd-applied-mathematics,,所有URL内容获取失败,0,0,
Harvard University,PhD,Mathematics,文理研究生院,https://gsas.harvard.edu/program/mathematics,https://www.math.harvard.edu/graduate/,,单一URL验证失败 (置信度: 10),1,0,
Stanford University,PhD,Computational and Mathematical Engineering ,工程学院,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-doctor-philosophy,,单一URL验证失败 (置信度: 16),1,0,
Stanford University,MS,Computational and Mathematical Engineering ,工程学院,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,,单一URL验证失败 (置信度: 10),1,0,
Stanford University,MS,Mathematical and Computational Finance,工程学院,https://icme.stanford.edu/academics-admission/icme-graduate-program-application,https://icme.stanford.edu/academics-admission/icme-master-science,,所有URL内容获取失败,0,0,
Stanford University,PhD,Mathematics ,人文科学学院,https://mathematics.stanford.edu/academics/graduate-admissions,https://mathematics.stanford.edu/academics/graduate-students/phd-program,https://mathematics.stanford.edu/academics/graduate-students/phd-program,单一URL验证通过 (置信度: 117),1,117,
Yale University,Ph.D,Applied Mathematics,艺术与科学研究生院,https://gsas.yale.edu/programs-of-study/applied-mathematics,https://applied.math.yale.edu/graduate-program-0,,单一URL验证失败 (置信度: 38),1,0,
Yale University,PH.D.,Mathematics,艺术与科学研究生院,https://gsas.yale.edu/programs-of-study/mathematics,https://math.yale.edu/graduate-programs,,单一URL验证失败 (置信度: 58),1,0,
