大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,面试,判定状态
Princeton University,Ph.D. ,Applied and Computational Mathematics,应用与计算数学,Graduate School,,PhD项目-默认跳过
Princeton University,Ph.D. ,Mathematics,数学系,Graduate School,,PhD项目-默认跳过
Massachusetts Institute of Technology,PhD,Mathematics,数学系,Department of Mathematics,,PhD项目-默认跳过
Massachusetts Institute of Technology,ScD,Mathematics,数学系,Department of Mathematics,不需要,投票结果-不需要(3票) vs 需要(0票)
Harvard University,PhD,Applied Mathematics SEAS,约翰·保尔森工程与应用科学学院,Harvard John A. Paulson School of Engineering and Applied Sciences,,PhD项目-默认跳过
Harvard University,PhD,Mathematics,文理研究生院,The Harvard Kenneth C. Griffin Graduate School of Arts and Sciences,,PhD项目-默认跳过
Stanford University,PhD,Computational and Mathematical Engineering ,工程学院,School of Engineering,,PhD项目-默认跳过
Stanford University,MS,Computational and Mathematical Engineering ,工程学院,School of Engineering,不需要,投票结果-不需要(1票) vs 需要(0票)
Stanford University,MS,Mathematical and Computational Finance,工程学院,Stanford University School of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
Stanford University,PhD,Mathematics ,人文科学学院,School of Humanities and Sciences,,PhD项目-默认跳过
Yale University,Ph.D,Applied Mathematics,艺术与科学研究生院,Graduate School of Arts and Sciences,,PhD项目-默认跳过
Yale University,PH.D.,Mathematics,艺术与科学研究生院,Graduate School of Arts and Sciences,,PhD项目-默认跳过
University of Pennsylvania,MA,Applied Math and Computational Science,文理学院,School of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Pennsylvania,PHD,Applied Math and Computational Science,文理学院,School of Arts and Sciences,,PhD项目-默认跳过
University of Pennsylvania,AM,Mathematics,文理学院,School of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Pennsylvania,M.Phil,Mathematics,文理学院,School of Arts and Sciences,需要,投票结果-需要(2票) vs 不需要(1票)
University of Pennsylvania,phd+ms,Mathematics,文理学院,School of Arts and Sciences,,PhD项目-默认跳过
University of Pennsylvania,phd+ms,Mathematics,文理学院,School of Arts and Sciences,,PhD项目-默认跳过
University of Pennsylvania,PHD,Mathematics,文理学院,School of Arts and Sciences,,PhD项目-默认跳过
Duke University,PHD,Mathematics,文理学院,The Graduate School,,PhD项目-默认跳过
California Institute of Technology,PHD,Applied and Computational Mathematics,工程与应用科学学部,Division of Engineering and Applied Science,,PhD项目-默认跳过
California Institute of Technology,PHD,Computing + Mathematical Sciences,工程与应用科学学部,Division of Engineering and Applied Science,,PhD项目-默认跳过
California Institute of Technology,PHD,Mathematics,物理，数学和天文学系,The Division of Physics,,PhD项目-默认跳过
Brown University,PHD,Applied Mathematics,研究生院,Graduate School,,PhD项目-默认跳过
Brown University,PHD,Mathematics,研究生院,Graduate School,,PhD项目-默认跳过
Northwestern University,MS,MS in Engineering Sciences and Applied Mathematics,工程与应用科学学院,McCormick School of Engineering and Applied Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Northwestern University,PhD,Engineering Sciences and Applied Mathematics,工程与应用科学学院,McCormick School of Engineering and Applied Science,,PhD项目-默认跳过
Northwestern University,PhD,Mathematics,文理学院,Weinberg College of Arts and Sciences,,PhD项目-默认跳过
Johns Hopkins University,PHD,Mathematics,艺术与科学学院,Krieger School of Arts & Sciences,,PhD项目-默认跳过
Johns Hopkins University,MSE,Applied Mathematics and Statistics,工程学院,Johns Hopkins Whiting School of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
Johns Hopkins University,MSE,Applied Mathematics and Statistics,工程学院,Whiting School of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,Whiting School of Engineering,,PhD项目-默认跳过
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,Whiting School of Engineering,,PhD项目-默认跳过
Columbia University,MS,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,需要,投票结果-需要(2票) vs 不需要(0票)
Columbia University,MS,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,需要,投票结果-需要(2票) vs 不需要(0票)
Columbia University,MS/PHD,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,,PhD项目-默认跳过
Columbia University,PhD,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,,PhD项目-默认跳过
Columbia University,PhD,Mathematics,艺术与科学研究生院,Graduate School of Arts and Sciences,,PhD项目-默认跳过
Columbia University,MA,Mathematics with a Specialization in the Mathematics of Finance,艺术与科学研究生院,Graduate School of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Cornell University,Ph.D.,Applied Mathematics (Ph.D.) ,应用数学中心,Graduate School,,PhD项目-默认跳过
Cornell University,Ph.D.,Mathematics (Ph.D.) ,文理学院,The College of Arts & Sciences,,PhD项目-默认跳过
University of Chicago,MS,Computational and Applied Mathematics,物理科学部,Physical Sciences Division,不需要,投票结果-不需要(2票) vs 需要(0票)
University of Chicago,Ph.D,Computational and Applied Mathematics,物理科学部,Physical Sciences Division,,PhD项目-默认跳过
University of Chicago,Joint  PhD,Ph. D. in Mathematics and Computer Science,物理科学部,Physical Sciences Division,,PhD项目-默认跳过
University of Chicago,Ph.D,Mathematics,物理科学部,Physical Sciences Division,,PhD项目-默认跳过
University of Chicago,MS-PSD,Mathematics,物理科学部,Physical Sciences Division,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Berkeley",Ph.D.,Applied Mathematics,数学系,Department of Mathematics,,PhD项目-默认跳过
"University of California, Berkeley",Ph.D,Mathematics,数学系,Department of Mathematics,,PhD项目-默认跳过
"University of California, Berkeley",Ph.D.,Applied Science & Technology,应用科学与技术项目,College of Engineering,,PhD项目-默认跳过
"University of California, Berkeley",Ph.D.,Logic & the Methodology of Science,逻辑与科学方法论小组,Group in Logic and the Methodology of Science,,PhD项目-默认跳过
"University of California, Los Angeles",PHD,Mathematics,物理科学学院,Division of Physical Sciences,,PhD项目-默认跳过
"University of California, Los Angeles",MA,Mathematics,物理科学学院,UCLA College of Letters and Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Rice University,Ph.D.,Computational and Applied Mathematics,工程学院,George R. Brown School of Engineering and Computing,,PhD项目-默认跳过
Rice University,M.C.A.A.M.,The Professional Master's of Computational and Applied Mathematics,工程学院,George R. Brown School of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
Rice University,PHD,Mathematics,自然科学学院,The Wiess School of Natural Sciences,,PhD项目-默认跳过
Dartmouth College,PHD,Mathematics,研究生院,Guarini School of Graduate and Advanced Studies,,PhD项目-默认跳过
Vanderbilt University,MA,Mathematics,文理学院,College of Arts and Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Vanderbilt University,PHD,Mathematics,文理学院,College of Arts and Science,,PhD项目-默认跳过
University of Notre Dame,M.S.,Applied and Computational Mathematics ,理学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Notre Dame,M.S.,Applied and Computational Mathematics ,理学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Notre Dame,Ph.D.,Applied and Computational Mathematics and Statistics,理学院,College of Science,,PhD项目-默认跳过
University of Notre Dame,Ph.D.,Mathematics,理学院,College of Science,,PhD项目-默认跳过
"University of Michigan, Ann Arbor",Ph.D,Applied and Interdisciplinary Mathematics,文化、科学与艺术学院,College of Literature,,PhD项目-默认跳过
"University of Michigan, Ann Arbor",Ph.D,Mathematics,文化、科学与艺术学院,College of Literature,,PhD项目-默认跳过
"University of Michigan, Ann Arbor",MS,Applied and Interdisciplinary Mathematics,文化、科学与艺术学院,,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Michigan, Ann Arbor",MS,General Mathematics Master's Program,文化、科学与艺术学院,College of Literature,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Michigan, Ann Arbor",MS,Applied Mathematics Master's Program,文化、科学与艺术学院,College of Literature,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Michigan, Ann Arbor",MS,Actuarial Mathematics Master's Program,文化、科学与艺术学院,College of Literature,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of North Carolina, Chapel Hill",Ph.D,Mathematics,文理学院,Department of Mathematics,,PhD项目-默认跳过
"University of North Carolina, Chapel Hill",MS,Mathematics,文理学院,The Graduate School,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of North Carolina, Chapel Hill",MA,Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Georgetown University,PHD,PhD program in Applied Mathematics,文理研究生院,College of Arts & Sciences,,PhD项目-默认跳过
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Emory University,PhD,Mathematics,研究生院,Laney Graduate School,,PhD项目-默认跳过
Emory University,MS,Mathematics,研究生院,Emory College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Virginia,PHD,MATHEMATICS,文理研究生院,Graduate School of Arts and Sciences,,PhD项目-默认跳过
Carnegie Mellon University,Ph.D.,Pure and Applied Logic,人文与社会科学学院,Dietrich College of Humanities and Social Sciences,,PhD项目-默认跳过
Carnegie Mellon University,Ph.D.,"Doctor of Philosophy in Algorithms, Combinatorics, and Optimization (ACO)",科学学院,Mellon College of Science,,PhD项目-默认跳过
Carnegie Mellon University,Ph.D.,Doctor of Philosophy in Mathematical Sciences,科学学院,Mellon College of Science,,PhD项目-默认跳过
Carnegie Mellon University,DAM,Doctor of Arts in Mathematical Sciences,科学学院,Mellon College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Washington University in St. Louis,MS,Systems Science & Mathematics,工程学院,McKelvey School of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
Washington University in St. Louis,MS,Systems Science & Mathematics,工程学院,McKelvey School of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
Washington University in St. Louis,PHD,Project Management,工程学院,McKelvey School of Engineering,,PhD项目-默认跳过
Washington University in St. Louis,DSc,Project Management,工程学院,McKelvey School of Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
Washington University in St. Louis,PHD,Mathematics ,文理学院,Arts & Sciences,,PhD项目-默认跳过
