program_name_en,category,program_id,university
MSc Comparative Social Policy,社会学与社工,cc7607b3-dfa4-48db-9f14-a35de87d67a6,University of Oxford
MSc Sociology,社会学与社工,2a5e00fd-9aa1-4147-b5fe-4e2abe5978ea,University of Oxford
MSc Social Science of the Internet,社会学与社工,7c934474-02bb-4cb3-9ddd-809f1b6260ec,University of Oxford
MSc Social Anthropology,社会学与社工,a6fcc4a8-995a-4e6f-a1a3-8ee38de71e92,University of Oxford
"MSt Women's, Gender, and Sexuality Studies",社会学与社工,855dd1c0-367d-412b-a598-391e54d4d83e,University of Oxford
MSc Criminology and Criminal Justice,社会学与社工,b9826473-d96f-479c-9e75-8c586b65031c,University of Oxford
MPhil Development Studies,社会学与社工,edaf7c53-f4d7-4129-8fef-c62e3b5fd32a,University of Oxford
MPhil Sociology and Demography,社会学与社工,1706f6e7-1fa6-4eb6-9f35-eac3c957cd07,University of Oxford
MPhil Comparative Social Policy,社会学与社工,4b15f948-1259-4866-a986-da58c7c46cfd,University of Oxford
MPhil Evidence-Based Social Intervention and Policy Evaluation,社会学与社工,d412ef52-b441-4311-ac67-e33e4916401a,University of Oxford
MPhil Social Anthropology,社会学与社工,dd906418-4b97-4c3e-8d12-418e48e4170b,University of Cambridge
MPhil Social Anthropological Research,社会学与社工,f7ff9670-3062-424a-9527-e81c72b2cf78,University of Cambridge
MPhil Criminology,社会学与社工,c31e07d8-69e4-4f95-a762-edf57f02d571,University of Cambridge
MPhil Sociology (Political and Economic Sociology),社会学与社工,076fc984-7e29-4630-9674-0cccd8eb423a,University of Cambridge
MPhil Sociology (The Sociology of Marginality and Exclusion),社会学与社工,c0b3bd69-bc1c-45ad-9670-7efb5ed1ec5b,University of Cambridge
MPhil Sociology (The Sociology of Media and Culture),社会学与社工,cda8addf-d1ed-40a0-9e39-7a183b2142ec,University of Cambridge
Master of Social Work,社会学与社工,125ba4ee-ae82-480d-927c-6ce051ca0ef6,National University of Singapore
"MSc Environment, Politics and Society",社会学与社工,727687b2-2f63-4858-93cc-9dc247d80596,University College London
MA Sociology of Childhood and Children's Rights,社会学与社工,0bb8b23d-da6b-4e13-8f2d-37235452d8c3,University College London
MSc Social Policy (Research Methods),社会学与社工,33426a93-3ae0-47dc-8469-829daf5e9037,University College London
MSc Social Policy (Evidence Synthesis),社会学与社工,f7b3339d-fdc1-4108-ba03-f2f7293895a1,University College London
MSc Social Development Practice,社会学与社工,35d4a509-1c9b-49bf-9ec5-d6aff70e1130,University College London
MSc Digital Anthropology,社会学与社工,934bf446-a81b-4482-82e6-72329905647c,University College London
MSc Social Research Methods with Data Science,社会学与社工,1a4197b9-d4e7-42ca-8011-40b4e57edb32,University College London
MSc Social and Cultural Anthropology,社会学与社工,b1c1da12-09e6-459a-a037-48c1645b5edf,University College London
MSc Countering Extremist Crime and Terrorism,社会学与社工,767189e8-2523-4995-b51a-db04c84eb065,University College London
MSc Crime Science,社会学与社工,a9ba4666-5c7f-4f4b-9102-523db4221358,University College London
"MSc Politics, Violence and Crime",社会学与社工,376470e3-5f4d-43b5-a8a5-75c915a7d545,University College London
"MA Race, Ethnicity and Postcolonial Studies",社会学与社工,385fd935-9476-4a44-93f2-2cc176a2079a,University College London
MSc Crime Science with Data Science,社会学与社工,aab8316b-effb-4e4d-ba2c-f9b735524179,University College London
MSc Crime Science with Cybercrime,社会学与社工,678c410b-4bc4-4653-8f78-093837c5ae53,University College London
MSc Anthropology and Professional Practice,社会学与社工,b2cc0170-888e-4716-bf49-1bc086b2b1d8,University College London
MSc Crime Science with Serious Organised Crime,社会学与社工,e81742e0-ea24-4515-bd00-3b5d77ef61d4,University College London
MSc Sociology,社会学与社工,4dcaed26-a9e5-42a8-a276-23a5ecc14c00,University College London
MSc Sociology and Data Science,社会学与社工,31473156-7fd9-4834-b2fd-0b36879dd89d,University College London
MSc Sociology and Social Inequalities,社会学与社工,bb5864eb-798e-414f-9c35-c95c235033ea,University College London
Master of Social Work,社会学与社工,64e6d5b1-559e-4404-8639-fa9bdbd4f20b,The University of Hong Kong
MSocSc Criminology,社会学与社工,75813eff-a53e-47ce-84bd-5ac0b664c500,The University of Hong Kong
MSocSc Nonprofit Management,社会学与社工,b8df0721-2731-4107-b335-72b8c76e6fdd,The University of Hong Kong
MSocSc Population and Policy Analysis,社会学与社工,02961b8c-b48a-456f-b682-35bfaf827373,The University of Hong Kong
MSocSc Sociology,社会学与社工,237391a4-7abb-41b9-95b4-6ac245287ca6,The University of Hong Kong
MSocSc Gerontology,社会学与社工,9406187c-2856-4c06-a44f-4af5b7353bf1,The University of Hong Kong
MSc Applied Gerontology,社会学与社工,6aa39cfc-fcfa-427b-8cbf-ff7413d50dd3,Nanyang Technological University
MA in Social Work,社会学与社工,27959628-5f9a-4432-ba71-be0e125ec91b,University of Chicago
Master in Social Sector Leadership and Nonprofit Management,社会学与社工,557d734c-d3a7-43da-af86-e971be12d727,University of Chicago
Master of Social Work,社会学与社工,698cb008-0635-45d2-b3bf-9bf895c1a4e3,University of Pennsylvania
MS in Nonprofit Leadership,社会学与社工,60864c69-296b-4bdc-a90a-e87cb23c5aa0,University of Pennsylvania
MS in Criminology,社会学与社工,4522bcf4-6582-4b20-a9b8-9f62d24b21b0,University of Pennsylvania
Master of Industrial and Labor Relations,社会学与社工,54132017-326b-4707-a014-7cd0f4e2d598,Cornell University
Master of Criminology,社会学与社工,d1e94ad3-0d2b-4ce8-84da-c59eae00c67b,The University of Melbourne
Master of Social Policy,社会学与社工,5ca65449-df43-4c03-97e2-e3d8ec42fa40,The University of Melbourne
Master of Social Work,社会学与社工,83b658f7-a2d2-4ac6-b8b5-564cc2aefa67,The University of Melbourne
Master of Criminology,社会学与社工,fd3c6b22-85b9-47c2-9719-7b5d73cc11eb,The University of Sydney
Master of Social Justice (Human Rights),社会学与社工,ab73a504-8ed5-4fae-aa58-c3e01ec9604e,The University of Sydney
Master of Social Work (Qualifying),社会学与社工,6740a681-35c1-4556-9a8b-94f2ab32749d,The University of Sydney
MSc Leadership and Development,社会学与社工,c177f163-b71b-4a46-aba4-b9f97640e611,King's College London
MA International Child Rights and Development,社会学与社工,dac78406-4e97-4cfe-90b6-679694749d14,King's College London
MA Anthropology,社会学与社工,ebb54adb-aa38-4453-870f-7a5b854be7dd,The Chinese University of Hong Kong
MA Social Service Management,社会学与社工,fc5942c6-15f5-4b88-b3f6-a8a7bb516f8c,The Chinese University of Hong Kong
MA Social Policy,社会学与社工,4dd0c60c-47e6-460c-af1d-971dba28980a,The Chinese University of Hong Kong
MSocSc Social Work,社会学与社工,327c3bcb-83a5-4c49-ab84-17ab71ba8b90,The Chinese University of Hong Kong
MA Sociology,社会学与社工,e7b15735-b986-4fc6-adfb-8fa18b4ec465,The Chinese University of Hong Kong
MA Gender Studies,社会学与社工,6ec08b0c-5306-43d6-b0ed-2f0366352f1e,The Chinese University of Hong Kong
Master of Social Work,社会学与社工,315fa80c-49e8-4d4a-991f-bc9855c4badf,The Chinese University of Hong Kong
Master of Social Research Methods (Advanced),社会学与社工,798dd6f0-cf41-46fb-b0f5-4eb6a0826b85,Australian National University
Master of Social Research Methods,社会学与社工,d71ab875-8d40-4c23-b09e-2219ef2ec522,Australian National University
MSc Computational Social Science (CUHK-Shenzhen),社会学与社工,f72f5822-6177-4e17-aaca-c49728004b8f,The Chinese University of Hong Kong
Master of Anthropology and Planetary Futures,社会学与社工,ac892301-fcf1-4493-8922-d62ed2c63074,Australian National University
Master of Anthropology and Planetary Futures (Advanced),社会学与社工,fa25d3d2-0bcd-4b84-8286-a29efcdccb0f,unknown
Master of Applied Criminology,社会学与社工,2cf473d0-caec-42a9-93ff-9bbbc842bd73,Australian National University
MSc Criminology and Criminal Justice,社会学与社工,59d4ab57-2b32-43c6-9fd4-ef2defd04eb9,The University of Edinburgh
"MSc Global Environment, Politics and Society",社会学与社工,3e54f192-32e2-410e-a4e3-5cec6e0134fc,The University of Edinburgh
MSc Science and Technology in Society,社会学与社工,6620cdd0-0357-42dc-ac7b-223c1ebcf089,The University of Edinburgh
MSc Social Anthropology,社会学与社工,c9e0a7ba-de6d-4108-8b19-c7e549fd0faa,The University of Edinburgh
MSc Social Research,社会学与社工,8f089326-4319-43ec-b8e8-875d7440070b,The University of Edinburgh
