学校中文名,学校英文名,国家/地区,QS 2026,USNews 2026,THE 2025,ARWU 2024,Arts & Humanities,Archaeology,Architecture,Art & Design,Classics,English Language,History$,History of Art,Linguistics,Modern Languages,Music,Performing Arts,Philosophy,Theology,Engineering & Technology,Computer Science,Data Science,Engineering - Chemical,Engineering - Civil,Engineering - Electrical,Engineering - Mechanical,Engineering - Mineral,Petroleum Engineering,Life Sciences & Medicine,Agriculture,Anatomy,Biological,Dentistry,Medicine,Nursing,Pharmacy,Psychology,Veterinary Science,Natural Sciences,Chemistry,Earth & Marine Sciences,Environmental Sciences,Geography,Geology,Geophysics,Mathematics,Materials Science,Physics,Social Sciences & Management,Accounting,Anthropology,Business,Communication,Development Studies,Economics & Econometrics,Education,Hospitality,Law,Library,Marketing,Politics,Social Policy,Sociology,Sports-related Subjects,Statistics
麻省理工学院,Massachusetts Institute of Technology,美国,1,2,2,3,=7,51-100,2,5,,=19,51-100,,1,10,,51-100,18,,1,1,1,1,1,1,1,,,5,,,2,,11,,,11,,2,2,2,6,,4,=4,1,1,1,4,2,51-100,2,=25,,2,,,,,3,15,12,41,51-100,1
伦敦帝国学院,Imperial College London,英国,2,11,9,25,,,,51-100,,,,,,,,,,,8,22,12,9,11,12,=9,8,6,8,,16,10,,7,,=17,,,9,11,17,11,,21,=20,10,=11,11,=43,21,,=37,,101-150,35,,101-150,,,45,,101-150,,,11
斯坦福大学,Stanford University,美国,3,3,6,2,4,8,=24,17,=42,6,=6,,11,4,,=33,15,50,3,2,,2,7,2,2,,,4,,2,3,,3,,,3,,5,4,7,5,,=9,10,5,3,4,3,3,=6,3,5,=8,3,4,,5,,4,=5,=3,3,,2
牛津大学,University of Oxford,英国,4,4,1,6,2,2,=33,27,4,=1,2,=15,=4,2,,15,5,3,2,5,3,8,12,=8,8,,,2,,1,4,,2,,2,2,,3,5,3,4,1,2,2,3,8,3,2,4,2,=5,,2,9,6,,2,,,2,2,2,,7
哈佛大学,Harvard University,美国,5,1,3,1,1,7,6,,=11,3,1,7,6,3,,17,9,2,9,7,6,,,=4,5,,,1,,,1,=10,1,,1,1,,1,1,5,1,,3,3,2,5,2,1,1,1,1,2,4,1,2,,1,,,1,1,1,,3
剑桥大学,University of Cambridge,英国,6,5,5,4,3,1,12,32,5,=1,3,13,=4,1,,16,=6,4,4,9,,3,8,=4,3,,,6,,3,5,,5,,6,4,15,4,3,4,9,3,5,6,4,4,5,5,6,3,=5,10,6,10,5,,3,,=1,7,5,6,,4
苏黎世联邦理工学院,ETH Zurich,瑞士,7,35,11,21,,,4,,,,,,,,,,,,5,10,8,5,2,=8,6,,,=51,7,51-100,13,,=72,,40,,,6,9,1,8,,1,1,8,=11,8,50,47,,65,,,=29,=46,,101-150,,,=28,51-100,,101-150,6
新加坡国立大学,National University of Singapore,新加坡,8,20,17,68,31,,9,=30,51-150,15,17,2,8,14,,=44,=25,,12,4,7,4,=3,=4,=9,,,29,,15,15,=32,18,8,8,16,,21,7,,10,6,,,9,=6,=14,10,=12,16,8,14,,16,,,10,,6,10,=3,15,=12,10
伦敦大学学院,University College London（UCL）,英国,9,7,22,16,11,3,,=44,17,12,15,21-50,19,16,,,39,51-100,=33,=24,=21,20,33,39,=78,,,9,,11,16,=32,8,,3,6,,29,24,23,=32,4,=22,=25,=38,53,=27,19,46,4,=90,=37,12,=18,,,14,12,,22,=30,22,40,=41
加州理工学院,California Institute of Technology,美国,10,23,7,8,=229,,,,,,,,,,,,,,13,52,=34,=13,=37,=14,18,,,,,,18,,,,,,,7,14,6,=29,,6,=4,=16,26,7,=189,,,151-200,,,=58,,,,,,,,,,
香港大学,The University of Hong Kong,中国香港,11,44,35,69,18,51-100,13,51-100,,17,29,12,9,17,,51-100,101-150,51-100,=47,21,18,51,=13,38,=49,=21,,=34,,50,=44,2,24,34,=58,28,,=58,=44,=29,=27,10,46,=46,33,=55,=65,22,28,=25,30,=46,44,=33,3,51-100,15,19,17,=52,11,17,27,=24
南洋理工大学,Nanyang Technological University,新加坡,12,28,30,90,48,101-150,=36,19,,30,51-100,21-50,27,42,,51-100,101-150,,11,6,5,10,9,=4,4,,,=109,,,30,,=84,,,27,,24,8,42,13,44,=44,=42,20,2,16,21,20,,14,4,47,43,8,28,82,3,13,=34,51-100,58,=29,28
