USNEWS美国大学2025计算机科学排名(本科),,,,
计算机科学排名,综合排名,学校,英文名,所在州
1,4,斯坦福大学,Stanford University,加利福尼亚州
2,21,卡内基梅隆大学,Carnegie Mellon University,宾夕法尼亚州
2,2,麻省理工学院,Massachusetts Institute of Technology,马萨诸塞州
2,17,加州大学伯克利分校,University of California-Berkeley,加利福尼亚州
5,1,普林斯顿大学,Princeton University,新泽西州
5,33,伊利诺伊大学香槟分校,University of Illinois at Urbana-Champaign,伊利诺伊州
7,11,康奈尔大学,Cornell University,纽约州
7,33,佐治亚理工学院,Georgia Institute of Technology-Main Campus,佐治亚州
7,46,华盛顿大学,University of Washington-Seattle Campus,华盛顿州
10,6,加州理工学院,California Institute of Technology,加利福尼亚州
10,21,密歇根大学安娜堡分校,University of Michigan-Ann Arbor,密歇根州
10,30,德克萨斯大学奥斯汀分校,The University of Texas at Austin,德克萨斯州
13,3,哈佛大学,Harvard University,马萨诸塞州
13,15,加州大学洛杉矶分校,University of California-Los Angeles,加利福尼亚州
13,29,加州大学圣地亚哥分校,University of California-San Diego,加利福尼亚州
16,13,哥伦比亚大学,Columbia University in the City of New York,纽约州
16,46,普渡大学,Purdue University-Main Campus,印第安纳州
16,39,威斯康星大学麦迪逊分校,University of Wisconsin-Madison,威斯康星州
19,6,杜克大学,Duke University,北卡罗来纳州
19,6,约翰霍普金斯大学,Johns Hopkins University,马里兰州
19,44,马里兰大学帕克分校,University of Maryland-College Park,马里兰州
19,10,宾夕法尼亚大学,University of Pennsylvania,宾夕法尼亚州
19,27,南加州大学,University of Southern California,加利福尼亚州
19,5,耶鲁大学,Yale University,康涅狄格州
25,13,布朗大学,Brown University,罗得岛州
25,6,西北大学,Northwestern University,伊利诺伊州
25,33,加州大学尔湾分校,University of California-Irvine,加利福尼亚州
25,11,芝加哥大学,University of Chicago,伊利诺伊州
29,-,哈维穆德学院,Harvey Mudd College,加利福尼亚州
29,18,莱斯大学,Rice University,德克萨斯州
29,33,加州大学戴维斯分校,University of California-Davis,加利福尼亚州
29,27,北卡罗来纳大学教堂山分校,University of North Carolina at Chapel Hill,北卡罗来纳州
29,51,弗吉尼亚理工,Virginia Polytechnic Institute and State University,弗吉尼亚州
34,51,德州农工大学,Texas A & M University-College Station,德克萨斯州
34,39,加州大学圣塔芭芭拉分校,University of California-Santa Barbara,加利福尼亚州
34,98,科罗拉多大学博尔德分校,University of Colorado Boulder,科罗拉多州
34,58,马萨诸塞大学安姆斯特分校,University of Massachusetts-Amherst,马萨诸塞州
34,54,明尼苏达大学双城分校,University of Minnesota-Twin Cities,明尼苏达州
34,24,弗吉尼亚大学,University of Virginia-Main Campus,弗吉尼亚州
40,15,达特茅斯学院,Dartmouth College,新罕布什尔州
40,30,纽约大学,New York University,纽约州
40,54,东北大学,Northeastern University,马萨诸塞州
40,41,俄亥俄州立大学,Ohio State University-Main Campus,俄亥俄州
40,63,宾夕法尼亚州立大学,The Pennsylvania State University,宾夕法尼亚州
40,18,范德堡大学,Vanderbilt University,田纳西州
46,121,亚利桑那州立大学,Arizona State University-Tempe,亚利桑那州
46,30,佛罗里达大学,University of Florida,佛罗里达州
46,18,圣母大学,University of Notre Dame,印第安纳州
46,21,圣路易斯华盛顿大学,Washington University in St Louis,密苏里州
