2024-2026 全球大学排名,,,,,,
学校中文名,学校英文名,国家/地区,QS 2026,USNews 2026,THE 2025,ARWU 2024
麻省理工学院,Massachusetts Institute of Technology,美国,1,2,2,3
伦敦帝国学院,Imperial College London,英国,2,11,9,25
斯坦福大学,Stanford University,美国,3,3,6,2
牛津大学,University of Oxford,英国,4,4,1,6
哈佛大学,Harvard University,美国,5,1,3,1
剑桥大学,University of Cambridge,英国,6,5,5,4
苏黎世联邦理工学院,ETH Zurich,瑞士,7,35,11,21
新加坡国立大学,National University of Singapore,新加坡,8,20,17,68
伦敦大学学院,University College London（UCL）,英国,9,7,22,16
加州理工学院,California Institute of Technology,美国,10,23,7,8
香港大学,The University of Hong Kong,中国香港,11,44,35,69
南洋理工大学,Nanyang Technological University,新加坡,12,28,30,90
芝加哥大学,University of Chicago,美国,13,26,14,10
北京大学,Peking University,中国,14,25,13,24
宾夕法尼亚大学,University of Pennsylvania,美国,15,15,14,14
康奈尔大学,Cornell University,美国,16,16,20,12
清华大学,Tsinghua University,中国,17,11,12,22
加州大学伯克利分校,"University of California, Berkeley",美国,17,6,8,5
墨尔本大学,University of Melbourne,澳大利亚,19,30,39,37
新南威尔士大学,The University of New South Wales,澳大利亚,20,34,83,77
耶鲁大学,Yale University,美国,21,9,10,11
慕尼黑技术大学,Technical University of Munich,德国,22,79,26,47
洛桑联邦理工学院,École Polytechnique Fédérale de Lausanne,瑞士,22,86,32,55
约翰霍普金斯大学,Johns Hopkins University,美国,24,14,16,17
普林斯顿大学,Princeton University,美国,25,16,4,7
悉尼大学,The University of Sydney,澳大利亚,25,29,61,74
麦吉尔大学,McGill University,加拿大,27,62,45,74
巴黎文理研究大学,PSL University,法国,28,105,42,33
多伦多大学,University of Toronto,加拿大,29,16,21,26
复旦大学,Fudan University,中国,30,70,36,50
伦敦国王学院,King’s College London,英国,31,36,36,53
香港中文大学,Chinese University Hong Kong,中国香港,32,37,44,101
澳大利亚国立大学,The Australian National University,澳大利亚,32,86,73,101
爱丁堡大学,The University of Edinburgh,英国,34,39,29,40
曼彻斯特大学,The University of Manchester,英国,35,68,53,52
蒙纳士大学,Monash University,澳大利亚,36,38,58,82
东京大学,The University of Tokyo,日本,36,84,28,28
首尔国立大学,Seoul National University,韩国,38,133,62,86
哥伦比亚大学,Columbia University,美国,38,10,18,8
不列颠哥伦比亚大学,University of British Columbia,加拿大,40,41,41,47
巴黎理工学院,Institut Polytechnique de Paris,法国,41,323,71,301
爱琴海大学,Ege Üniversitesi,土耳其,1001-1200,-,-,-
昆士兰大学,The University of Queensland,澳大利亚,42,43,77,63
香港科技大学,The Hong Kong University of Science and Technology,中国香港,44,101,66,201
密歇根大学-安娜堡,University of Michigan - Ann Arbor,美国,45,21,22,30
加州大学洛杉矶分校,"University of California, Los Angeles",美国,46,13,18,15
代尔夫特理工大学,Delft University of Technology,荷兰,47,191,56,151
上海交通大学,Shanghai Jiao Tong University,中国,47,46,52,38
浙江大学,Zhejiang University,中国,49,45,47,27
延世大学,Yonsei University,韩国,50,180,102,201
布里斯托大学,University of Bristol,英国,51,105,78,97
卡内基梅隆大学,Carnegie Mellon University,美国,52,126,24,101
阿姆斯特丹大学,University of Amsterdam,荷兰,53,33,58,101
香港理工大学,The Hong Kong Polytechnic University,中国香港,54,58,84,151
纽约大学,New York University,美国,55,32,33,31
伦敦政治经济学院,London School of Economics and Political Science,英国,56,234,50,151
京都大学,Kyoto University,日本,57,187,55,45
慕尼黑大学,LMU Munich,德国,58,57,38,43
马来亚大学,University of Malaya,马来西亚,58,331,251,401
天主教鲁汶大学（荷兰语区）,KU Leuven,比利时,60,50,43,78
韩国大学,Korea University,韩国,61,288,189,201
杜克大学,Duke University,美国,62,27,27,39
香港城市大学,City University Hong Kong,中国香港,63,54,80,101
爱琴海大学,University of the Aegean,希腊,-,1360,1001,-
奥克兰大学,The University of Auckland,新西兰,65,128,152,201
加州大学圣地亚哥分校,"University of California, San Diego",美国,66,21,34,18
法赫德国王石油矿产大学,King Fahd University of Petroleum & Minerals,沙特阿拉伯,67,314,176,701
